"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia TUMBES",,,,,,,,
"Hogares (001)",35344,18835,28275,14321,3398,13123,4006,3687
"Ocupantes presentes (002)",139811,75568,117332,61789,14527,56164,16952,10958
"Casa independiente",,,,,,,,
"Hogares (004)",33713,17975,27107,13802,3194,12630,3715,3403
"Ocupantes presentes (005)",135232,73099,113820,60128,13822,54526,16044,10299
"Departamento en edificio",,,,,,,,
"Hogares (007)",367,240,340,200,119,241,151,12
"Ocupantes presentes (008)",1110,748,1054,659,419,815,500,24
"Vivienda en quinta",,,,,,,,
"Hogares (010)",917,479,678,269,74,210,126,137
"Ocupantes presentes (011)",2313,1211,1855,788,235,626,346,268
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",97,52,65,21,2,15,4,18
"Ocupantes presentes (014)",357,202,285,103,8,83,20,36
"Choza o cabaña",,,,,,,,
"Hogares (016)",22,18,1,,,1,,3
"Ocupantes presentes (017)",86,61,13,,,2,,12
"Vivienda improvisada",,,,,,,,
"Hogares (019)",74,27,29,9,,8,1,31
"Ocupantes presentes (020)",240,91,116,30,,32,3,86
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",35,13,17,7,2,5,2,11
"Ocupantes presentes (023)",100,47,61,33,14,33,10,20
"Otro tipo",,,,,,,,
"Hogares (025)",119,31,38,13,7,13,7,72
"Ocupantes presentes (026)",373,109,128,48,29,47,29,213
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",32534,17323,26521,13627,3360,12496,3953,3214
"Ocupantes presentes (029)",128578,69401,109841,58658,14353,53441,16685,9434
"Casa independiente",,,,,,,,
"Hogares (031)",30926,16482,25354,13108,3156,12004,3662,2933
"Ocupantes presentes (032)",124089,66997,106342,56997,13648,51805,15777,8787
"Departamento en edificio",,,,,,,,
"Hogares (034)",367,240,340,200,119,241,151,12
"Ocupantes presentes (035)",1110,748,1054,659,419,815,500,24
"Vivienda en quinta",,,,,,,,
"Hogares (037)",917,479,678,269,74,210,126,137
"Ocupantes presentes (038)",2313,1211,1855,788,235,626,346,268
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",97,52,65,21,2,15,4,18
"Ocupantes presentes (041)",357,202,285,103,8,83,20,36
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",74,27,29,9,,8,1,31
"Ocupantes presentes (047)",240,91,116,30,,32,3,86
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",34,12,17,7,2,5,2,11
"Ocupantes presentes (050)",96,43,61,33,14,33,10,20
"Otro tipo",,,,,,,,
"Hogares (052)",119,31,38,13,7,13,7,72
"Ocupantes presentes (053)",373,109,128,48,29,47,29,213
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",2810,1512,1754,694,38,627,53,473
"Ocupantes presentes (056)",11233,6167,7491,3131,174,2723,267,1524
"Casa independiente",,,,,,,,
"Hogares (058)",2787,1493,1753,694,38,626,53,470
"Ocupantes presentes (059)",11143,6102,7478,3131,174,2721,267,1512
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",22,18,1,,,1,,3
"Ocupantes presentes (071)",86,61,13,,,2,,12
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,1,,,,,,
"Ocupantes presentes (077)",4,4,,,,,,
"Otro tipo",,,,,,,,
