"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OYON (000)",19329,903,4517,3407,3313,2707,1776,1134,1572
"Quechua (001)",1457,3,12,28,211,312,245,220,426
"Aymara (002)",6,,,,1,,,1,4
"Ashaninca (003)",4,2,,2,,,,,
"Otra lengua nativa (004)",6,,3,1,,1,1,,
"Castellano (005)",17817,898,4501,3369,3094,2386,1528,907,1134
"Idioma extranjero (006)",2,,,,2,,,,
"Es sordomudo/a (007)",37,,1,7,5,8,2,6,8
"Hombres (009)",10180,455,2300,1735,1905,1504,970,583,728
"Quechua (010)",689,2,7,7,136,159,124,95,159
"Aymara (011)",3,,,,1,,,1,1
"Ashaninca (012)",2,,,2,,,,,
"Otra lengua nativa (013)",3,,2,,,1,,,
"Castellano (014)",9471,453,2290,1720,1767,1342,846,487,566
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",11,,1,6,,2,,,2
"Mujeres (018)",9149,448,2217,1672,1408,1203,806,551,844
"Quechua (019)",768,1,5,21,75,153,121,125,267
"Aymara (020)",3,,,,,,,,3
"Ashaninca (021)",2,2,,,,,,,
"Otra lengua nativa (022)",3,,1,1,,,1,,
"Castellano (023)",8346,445,2211,1649,1327,1044,682,420,568
"Idioma extranjero (024)",1,,,,1,,,,
"Es sordomudo/a (025)",26,,,1,5,6,2,6,6
,,,,,,,,,
"URBANA (027)",12361,618,3146,2229,1975,1633,1028,710,1022
"Quechua (028)",918,2,11,15,136,197,151,137,269
"Ashaninca (030)",4,2,,2,,,,,
"Otra lengua nativa (031)",5,,3,1,,,1,,
"Castellano (032)",11408,614,3131,2210,1833,1429,875,569,747
"Idioma extranjero (033)",2,,,,2,,,,
"Es sordomudo/a (034)",24,,1,1,4,7,1,4,6
"Hombres (036)",5986,322,1588,1026,946,797,502,340,465
"Quechua (037)",429,1,7,4,80,93,78,58,108
"Ashaninca (039)",2,,,2,,,,,
"Otra lengua nativa (040)",2,,2,,,,,,
"Castellano (041)",5547,321,1578,1019,865,702,424,282,356
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",5,,1,1,,2,,,1
"Mujeres (045)",6375,296,1558,1203,1029,836,526,370,557
"Quechua (046)",489,1,4,11,56,104,73,79,161
"Ashaninca (048)",2,2,,,,,,,
"Otra lengua nativa (049)",3,,1,1,,,1,,
"Castellano (050)",5861,293,1553,1191,968,727,451,287,391
"Idioma extranjero (051)",1,,,,1,,,,
"Es sordomudo/a (052)",19,,,,4,5,1,4,5
,,,,,,,,,
"RURAL (054)",6968,285,1371,1178,1338,1074,748,424,550
"Quechua (055)",539,1,1,13,75,115,94,83,157
"Aymara (056)",6,,,,1,,,1,4
"Otra lengua nativa (058)",1,,,,,1,,,
"Castellano (059)",6409,284,1370,1159,1261,957,653,338,387
"Es sordomudo/a (061)",13,,,6,1,1,1,2,2
"Hombres (063)",4194,133,712,709,959,707,468,243,263
"Quechua (064)",260,1,,3,56,66,46,37,51
"Aymara (065)",3,,,,1,,,1,1
"Otra lengua nativa (067)",1,,,,,1,,,
"Castellano (068)",3924,132,712,701,902,640,422,205,210
"Es sordomudo/a (070)",6,,,5,,,,,1
"Mujeres (072)",2774,152,659,469,379,367,280,181,287
"Quechua (073)",279,,1,10,19,49,48,46,106
"Aymara (074)",3,,,,,,,,3
"Castellano (077)",2485,152,658,458,359,317,231,133,177
"Es sordomudo/a (079)",7,,,1,1,1,1,2,1
