"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BONGARA (000)",10037,8571,479,408,579
"Empleado (001)",1305,411,169,255,470
"Obrero (002)",1348,956,150,138,104
"Trabajador independiente (003)",5494,5398,96,,
"Empleador o patrono (004)",203,168,25,9,1
"Trabajador familiar no remunerado (005)",1506,1457,39,6,4
"Trabajador del hogar (006)",181,181,,,
"De 06 a 14 años (008)",216,207,9,,
"Empleado (009)",3,3,,,
"Obrero (010)",22,17,5,,
"Trabajador independiente (011)",42,41,1,,
"Trabajador familiar no remunerado (013)",146,143,3,,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",3324,2863,170,116,175
"Empleado (017)",412,172,50,49,141
"Obrero (018)",560,399,65,64,32
"Trabajador independiente (019)",1403,1374,29,,
"Empleador o patrono (020)",41,35,5,1,
"Trabajador familiar no remunerado (021)",809,784,21,2,2
"Trabajador del hogar (022)",99,99,,,
"De 30 a 44 años (024)",3495,2833,191,195,276
"Empleado (025)",620,163,90,134,233
"Obrero (026)",467,314,57,54,42
"Trabajador independiente (027)",1988,1959,29,,
"Empleador o patrono (028)",72,56,10,5,1
"Trabajador familiar no remunerado (029)",310,303,5,2,
"Trabajador del hogar (030)",38,38,,,
"De 45 a 64 años (032)",2315,2008,91,95,121
"Empleado (033)",257,65,26,72,94
"Obrero (034)",247,180,21,20,26
"Trabajador independiente (035)",1535,1505,30,,
"Empleador o patrono (036)",66,56,7,3,
"Trabajador familiar no remunerado (037)",176,168,7,,1
"Trabajador del hogar (038)",34,34,,,
"De 65 y más años (040)",687,660,18,2,7
"Empleado (041)",13,8,3,,2
"Obrero (042)",52,46,2,,4
"Trabajador independiente (043)",526,519,7,,
"Empleador o patrono (044)",24,21,3,,
"Trabajador familiar no remunerado (045)",65,59,3,2,1
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",6248,5078,341,347,482
"Empleado (049)",1157,348,151,240,418
"Obrero (050)",716,483,78,96,59
"Trabajador independiente (051)",3297,3231,66,,
"Empleador o patrono (052)",152,125,19,7,1
"Trabajador familiar no remunerado (053)",769,734,27,4,4
"Trabajador del hogar (054)",157,157,,,
"De 06 a 14 años (056)",104,97,7,,
"Empleado (057)",3,3,,,
