"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CORONGO (000)",2196,2125,7,338,371,312,465,350,206,76,71,8890
"De 12 a 14 años (001)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (002)",52,48,2,44,1,1,,,,,4,49
"De 20 a 24 años (003)",175,152,1,91,48,8,2,2,,,23,231
"De 25 a 29 años (004)",221,210,1,69,75,44,19,1,1,,11,448
"De 30 a 34 años (005)",230,221,,39,55,53,62,11,1,,9,659
"De 35 a 39 años (006)",257,251,,19,64,65,66,34,3,,6,871
"De 40 a 44 años (007)",217,215,,14,33,32,69,45,16,6,2,970
"De 45 a 49 años (008)",187,184,,10,25,20,52,43,27,7,3,934
"De 50 y más años (009)",855,843,3,51,70,89,195,214,158,63,12,4727
"PEA (010)",429,404,3,82,103,65,79,38,26,8,25,1377
"De 15 a 19 años (012)",7,6,,6,,,,,,,1,6
"De 20 a 24 años (013)",27,18,1,11,4,2,,,,,9,25
"De 25 a 29 años (014)",44,38,,15,13,8,1,1,,,6,76
"De 30 a 34 años (015)",56,52,,24,10,11,6,1,,,4,108
"De 35 a 39 años (016)",65,64,,9,30,14,10,1,,,1,157
"De 40 a 44 años (017)",63,63,,6,19,8,19,8,2,1,,235
"De 45 a 49 años (018)",49,47,,4,11,8,10,7,6,1,2,199
"De 50 y más años (019)",118,116,2,7,16,14,33,20,18,6,2,571
"Ocupada (020)",423,399,3,82,102,64,79,37,25,7,24,1347
"De 15 a 19 años (022)",7,6,,6,,,,,,,1,6
"De 20 a 24 años (023)",26,17,1,11,3,2,,,,,9,23
"De 25 a 29 años (024)",44,38,,15,13,8,1,1,,,6,76
"De 30 a 34 años (025)",55,52,,24,10,11,6,1,,,3,108
