"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHEPEN (000)",71469,9124,1761,24957,22421,3256,4649,2115,3186
"Jefe o Jefa (001)",19220,2190,12,7072,5904,847,1467,436,1292
"Esposa(o)/ compa¤era(o) (002)",12599,2083,26,4394,3664,491,1107,223,611
"Hijo(a)/ hijastro(a) (003)",27878,2997,1275,9358,9381,1411,1447,1115,894
"Yerno/ nuera (004)",1498,30,,285,692,126,191,54,120
"Nieto(a) (005)",4286,809,354,1639,1083,143,98,117,43
"Padres/ suegros (006)",862,412,,370,57,5,7,3,8
"Otro(a) pariente (007)",4082,498,84,1458,1303,196,239,138,166
"Trabajador(a) del hogar (008)",73,12,,31,25,1,4,,
"Pensionista (009)",87,7,,13,33,8,11,5,10
"Otro(a) no pariente (010)",884,86,10,337,279,28,78,24,42
"Hombres (012)",35637,3591,900,12663,12143,1596,1998,1099,1647
"Jefe o Jefa (013)",14637,1209,5,5457,4868,636,1100,363,999
"Esposa(o)/ compa¤era(o) (014)",473,47,2,130,189,17,36,18,34
"Hijo(a)/ hijastro(a) (015)",14533,1581,670,4901,5182,689,572,534,404
"Yerno/ nuera (016)",706,14,,122,319,50,105,31,65
"Nieto(a) (017)",2255,419,180,887,556,80,45,63,25
"Padres/ suegros (018)",266,79,,151,25,2,2,3,4
"Otro(a) pariente (019)",2233,212,38,807,813,101,95,77,90
"Trabajador(a) del hogar (020)",6,,,2,2,1,1,,
"Pensionista (021)",63,4,,10,26,5,8,2,8
"Otro(a) no pariente (022)",465,26,5,196,163,15,34,8,18
"Mujeres (024)",35832,5533,861,12294,10278,1660,2651,1016,1539
"Jefe o Jefa (025)",4583,981,7,1615,1036,211,367,73,293
"Esposa(o)/ compa¤era(o) (026)",12126,2036,24,4264,3475,474,1071,205,577
"Hijo(a)/ hijastro(a) (027)",13345,1416,605,4457,4199,722,875,581,490
"Yerno/ nuera (028)",792,16,,163,373,76,86,23,55
"Nieto(a) (029)",2031,390,174,752,527,63,53,54,18
"Padres/ suegros (030)",596,333,,219,32,3,5,,4
"Otro(a) pariente (031)",1849,286,46,651,490,95,144,61,76
"Trabajador(a) del hogar (032)",67,12,,29,23,,3,,
"Pensionista (033)",24,3,,3,7,3,3,3,2
"Otro(a) no pariente (034)",419,60,5,141,116,13,44,16,24
,,,,,,,,,
"URBANA (036)",58538,6628,1467,19439,18809,2900,4362,1950,2983
"Jefe o Jefa (037)",15770,1488,10,5473,5011,752,1404,405,1227
"Esposa(o)/ compa¤era(o) (038)",10160,1362,23,3359,3100,456,1063,213,584
"Hijo(a)/ hijastro(a) (039)",22560,2260,1037,7182,7701,1225,1320,1024,811
"Yerno/ nuera (040)",1289,23,,215,598,116,172,54,111
"Nieto(a) (041)",3755,686,314,1423,959,133,91,109,40
"Padres/ suegros (042)",727,330,,321,53,5,7,3,8
"Otro(a) pariente (043)",3306,384,73,1116,1073,180,215,114,151
"Trabajador(a) del hogar (044)",70,9,,31,25,1,4,,
