"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LAMBAYEQUE (000)",65448,693,23719,21425,7439,2734,1148,336,50,,7904
"Catolica (001)",57627,605,20598,18917,6599,2481,1034,289,38,,7066
"Cristiana / Evangelica (002)",6498,72,2611,2109,696,202,98,41,11,,658
"Otra (003)",785,8,265,239,105,36,10,6,,,116
"Ninguna (004)",538,8,245,160,39,15,6,,1,,64
,,,,,,,,,,,
"URBANA (006)",34105,285,10295,11154,4695,1904,819,243,34,,4676
"Catolica (007)",30016,245,8891,9841,4170,1736,748,208,24,,4153
"Cristiana / Evangelica (008)",3248,31,1130,1060,417,128,59,29,9,,385
"Otra (009)",576,5,171,179,85,27,9,6,,,94
"Ninguna (010)",265,4,103,74,23,13,3,,1,,44
,,,,,,,,,,,
"RURAL (012)",31343,408,13424,10271,2744,830,329,93,16,,3228
"Catolica (013)",27611,360,11707,9076,2429,745,286,81,14,,2913
"Cristiana / Evangelica (014)",3250,41,1481,1049,279,74,39,12,2,,273
"Otra (015)",209,3,94,60,20,9,1,,,,22
"Ninguna (016)",273,4,142,86,16,2,3,,,,20
