"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",3004,31,1212,1019,309,108,46,26,3,,250
"Catolica (001)",2607,25,1039,898,275,98,38,21,3,,210
"Cristiana / Evangelica (002)",378,5,164,119,29,10,7,5,,,39
"Otra (003)",8,,4,1,3,,,,,,
"Ninguna (004)",11,1,5,1,2,,1,,,,1
,,,,,,,,,,,
"URBANA (006)",2043,22,810,679,235,79,32,14,2,,170
"Catolica (007)",1768,19,695,591,210,72,25,11,2,,143
"Cristiana / Evangelica (008)",262,3,110,86,21,7,6,3,,,26
"Otra (009)",7,,3,1,3,,,,,,
"Ninguna (010)",6,,2,1,1,,1,,,,1
,,,,,,,,,,,
"RURAL (012)",961,9,402,340,74,29,14,12,1,,80
"Catolica (013)",839,6,344,307,65,26,13,10,1,,67
"Cristiana / Evangelica (014)",116,2,54,33,8,3,1,2,,,13
"Otra (015)",1,,1,,,,,,,,
"Ninguna (016)",5,1,3,,1,,,,,,
