"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CANTA (000)",4949,4773,1203,706,698,588,752,428,398,176
"Católica (001)",4324,4170,1051,604,612,513,660,382,348,154
"Cristiana/Evangélica (002)",443,424,107,66,61,53,64,35,38,19
"Otra (003)",113,111,19,19,19,18,20,6,10,2
"Ninguna (004)",69,68,26,17,6,4,8,5,2,1
,,,,,,,,,,
"URBANA (006)",2479,2377,563,326,324,286,405,250,223,102
"Católica (007)",2294,2200,523,301,296,262,376,230,212,94
"Cristiana/Evangélica (008)",150,145,30,22,22,20,23,18,10,5
"Otra (009)",16,14,2,1,4,1,4,1,1,2
"Ninguna (010)",19,18,8,2,2,3,2,1,,1
,,,,,,,,,,
"RURAL (012)",2470,2396,640,380,374,302,347,178,175,74
"Católica (013)",2030,1970,528,303,316,251,284,152,136,60
"Cristiana/Evangélica (014)",293,279,77,44,39,33,41,17,28,14
"Otra (015)",97,97,17,18,15,17,16,5,9,
"Ninguna (016)",50,50,18,15,4,1,6,4,2,
