"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia BOLOGNESI",,,,,,,,,
"Viviendas particulares (001)",258,171,32,16,22,2,1,1,13
"Ocupantes presentes (002)",1143,793,134,63,89,4,2,3,55
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",252,168,30,15,22,2,1,1,13
"Ocupantes presentes (005)",1113,774,128,58,89,4,2,3,55
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1,1,,,,,,,
"Ocupantes presentes (008)",11,11,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,,1,,,,,,
"Ocupantes presentes (011)",3,,3,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3,2,,1,,,,,
"Ocupantes presentes (014)",13,8,,5,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,1,,,,,,
"Ocupantes presentes (023)",3,,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",201,124,28,16,22,2,1,1,7
"Ocupantes presentes (029)",887,582,109,63,89,4,2,3,35
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",195,121,26,15,22,2,1,1,7
"Ocupantes presentes (032)",857,563,103,58,89,4,2,3,35
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1,1,,,,,,,
"Ocupantes presentes (035)",11,11,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,,1,,,,,,
"Ocupantes presentes (038)",3,,3,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3,2,,1,,,,,
"Ocupantes presentes (041)",13,8,,5,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,1,,,,,,
"Ocupantes presentes (050)",3,,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",57,47,4,,,,,,6
"Ocupantes presentes (056)",256,211,25,,,,,,20
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",57,47,4,,,,,,6
"Ocupantes presentes (059)",256,211,25,,,,,,20
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
