"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MANU (000)",10471,150,4955,3669,1510,187
"Agric., ganadería, caza y silvicultura (001)",1501,24,545,479,358,95
"Pesca (002)",12,,4,1,6,1
"Explotación de minas y canteras (003)",2795,16,1481,937,340,21
"Industrias manufactureras (004)",351,6,133,140,68,4
"Suministro de electricidad, gas y agua (005)",23,,15,8,,
"Construcción (006)",246,1,87,104,51,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1606,48,640,669,227,22
"Venta, mant.y rep. veh.autom.y motoc. (008)",310,3,151,123,31,2
"Comercio al por mayor (009)",35,1,18,11,3,2
"Comercio al por menor (010)",1261,44,471,535,193,18
"Hoteles y restaurantes (011)",1028,25,607,271,113,12
"Trans., almac. y comunicaciones (012)",846,5,437,326,69,9
"Intermediación financiera (013)",13,,4,9,,
"Activid.inmobil., empres. y alquileres (014)",123,,53,41,28,1
"Admin.pub. y defensa; p. segur.soc afil (015)",132,,28,71,33,
"Enseñanza (016)",249,,68,155,23,3
"Servicios sociales y de salud (017)",95,,44,39,12,
"Otras activ. serv.comun.soc y personales (018)",252,4,135,79,32,2
"Hogares privados con servicio doméstico (019)",280,5,203,50,21,1
"Actividad economica no especificada (021)",614,11,279,214,100,10
"Desocupado (022)",305,5,192,76,29,3
"Hombres (023)",7535,93,3403,2684,1199,156
"Agric., ganadería, caza y silvicultura (024)",1306,21,477,411,316,81
"Pesca (025)",12,,4,1,6,1
"Explotación de minas y canteras (026)",2556,14,1344,867,310,21
"Industrias manufactureras (027)",302,5,116,121,57,3
"Suministro de electricidad, gas y agua (028)",23,,15,8,,
"Construcción (029)",239,1,83,101,51,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",828,26,312,336,140,14
"Venta, mant.y rep. veh.autom.y motoc. (031)",284,3,135,113,31,2
"Comercio al por mayor (032)",23,1,11,8,2,1
"Comercio al por menor (033)",521,22,166,215,107,11
"Hoteles y restaurantes (034)",179,9,87,47,30,6
"Trans., almac. y comunicaciones (035)",808,4,410,316,69,9
"Intermediación financiera (036)",10,,3,7,,
"Activid.inmobil., empres. y alquileres (037)",106,,45,34,26,1
"Admin.pub. y defensa; p. segur.soc afil (038)",109,,18,60,31,
"Enseñanza (039)",116,,27,69,17,3
"Servicios sociales y de salud (040)",49,,17,22,10,
"Otras activ. serv.comun.soc y personales (041)",153,2,77,48,24,2
