"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MELGAR (000)",1638,702,936
"Sin nivel (001)",56,13,43
"Educación inicial (002)",1,,1
"Primaria (003)",423,168,255
"Secundaria (004)",750,360,390
"Superior no univ. incompleta (005)",97,46,51
"Superior no univ. completa (006)",169,64,105
"Superior univ. incompleta (007)",36,14,22
"Superior univ. completa (008)",106,37,69
"Hombres (010)",1161,465,696
"Sin nivel (011)",32,9,23
"Educación inicial (012)",1,,1
"Primaria (013)",284,98,186
"Secundaria (014)",564,255,309
"Superior no univ. incompleta (015)",81,37,44
"Superior no univ. completa (016)",108,34,74
"Superior univ. incompleta (017)",22,9,13
"Superior univ. completa (018)",69,23,46
"Mujeres (020)",477,237,240
"Sin nivel (021)",24,4,20
"Primaria (023)",139,70,69
"Secundaria (024)",186,105,81
"Superior no univ. incompleta (025)",16,9,7
"Superior no univ. completa (026)",61,30,31
"Superior univ. incompleta (027)",14,5,9
"Superior univ. completa (028)",37,14,23
,,,
"AREA URBANA (030)",1023,397,626
"Sin nivel (031)",39,8,31
"Educación inicial (032)",1,,1
"Primaria (033)",220,75,145
"Secundaria (034)",435,196,239
"Superior no univ. incompleta (035)",72,32,40
"Superior no univ. completa (036)",136,46,90
"Superior univ. incompleta (037)",33,14,19
"Superior univ. completa (038)",87,26,61
"Hombres (040)",689,244,445
"Sin nivel (041)",20,5,15
"Educación inicial (042)",1,,1
"Primaria (043)",138,38,100
"Secundaria (044)",313,130,183
"Superior no univ. incompleta (045)",59,25,34
"Superior no univ. completa (046)",84,23,61
"Superior univ. incompleta (047)",20,9,11
"Superior univ. completa (048)",54,14,40
"Mujeres (050)",334,153,181
"Sin nivel (051)",19,3,16
"Primaria (053)",82,37,45
"Secundaria (054)",122,66,56
"Superior no univ. incompleta (055)",13,7,6
"Superior no univ. completa (056)",52,23,29
"Superior univ. incompleta (057)",13,5,8
"Superior univ. completa (058)",33,12,21
,,,
"AREA RURAL (060)",615,305,310
"Sin nivel (061)",17,5,12
"Primaria (063)",203,93,110
"Secundaria (064)",315,164,151
"Superior no univ. incompleta (065)",25,14,11
"Superior no univ. completa (066)",33,18,15
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",19,11,8
"Hombres (070)",472,221,251
"Sin nivel (071)",12,4,8
"Primaria (073)",146,60,86
"Secundaria (074)",251,125,126
"Superior no univ. incompleta (075)",22,12,10
"Superior no univ. completa (076)",24,11,13
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",15,9,6
"Mujeres (080)",143,84,59
"Sin nivel (081)",5,1,4
"Primaria (083)",57,33,24
"Secundaria (084)",64,39,25
"Superior no univ. incompleta (085)",3,2,1
"Superior no univ. completa (086)",9,7,2
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",4,2,2
