"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANGARAES (000)",13251,113,5504,3993,1000,301,113,50,9,,2168
"Conviviente (001)",2169,22,901,622,170,45,14,,2,,393
"Separado(a) (002)",552,8,248,154,46,20,7,1,1,,67
"Casado(a) (003)",7714,53,3471,2447,579,165,70,38,3,,888
"Viudo(a) (004)",1757,21,693,583,149,53,18,9,2,,229
"Divorciado(a) (005)",78,,33,23,6,1,,2,,,13
"Soltero(a) (006)",981,9,158,164,50,17,4,,1,,578
,,,,,,,,,,,
"URBANA (008)",4110,40,1502,1206,391,135,43,28,5,,760
"Conviviente (009)",880,10,316,281,82,27,7,,2,,155
"Separado(a) (010)",215,3,95,55,16,11,4,1,1,,29
"Casado(a) (011)",2127,15,858,655,220,67,24,21,,,267
"Viudo(a) (012)",478,9,177,143,45,21,6,5,1,,71
"Divorciado(a) (013)",28,,10,6,2,,,1,,,9
"Soltero(a) (014)",382,3,46,66,26,9,2,,1,,229
,,,,,,,,,,,
"RURAL (016)",9141,73,4002,2787,609,166,70,22,4,,1408
"Conviviente (017)",1289,12,585,341,88,18,7,,,,238
"Separado(a) (018)",337,5,153,99,30,9,3,,,,38
"Casado(a) (019)",5587,38,2613,1792,359,98,46,17,3,,621
"Viudo(a) (020)",1279,12,516,440,104,32,12,4,1,,158
"Divorciado(a) (021)",50,,23,17,4,1,,1,,,4
"Soltero(a) (022)",599,6,112,98,24,8,2,,,,349
