"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia OCROS (000)",109,30,79
"Sin nivel (001)",3,,3
"Primaria (003)",38,11,27
"Secundaria (004)",48,15,33
"Superior no univ. incompleta (005)",3,,3
"Superior no univ. completa (006)",6,1,5
"Superior univ. incompleta (007)",2,2,
"Superior univ. completa (008)",9,1,8
"De 14 a 29 años (010)",52,22,30
"Primaria (013)",12,6,6
"Secundaria (014)",26,12,14
"Superior no univ. incompleta (015)",2,,2
"Superior no univ. completa (016)",4,1,3
"Superior univ. incompleta (017)",2,2,
"Superior univ. completa (018)",6,1,5
"De 30 a 44 años (020)",32,7,25
"Sin nivel (021)",1,,1
"Primaria (023)",11,4,7
"Secundaria (024)",15,3,12
"Superior no univ. incompleta (025)",1,,1
"Superior no univ. completa (026)",2,,2
"Superior univ. completa (028)",2,,2
"De 45 a 64 años (030)",19,1,18
"Sin nivel (031)",2,,2
"Primaria (033)",13,1,12
"Secundaria (034)",4,,4
"De 65 y más años (040)",6,,6
"Primaria (043)",2,,2
"Secundaria (044)",3,,3
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",60,15,45
"Sin nivel (051)",1,,1
"Primaria (053)",16,5,11
"Secundaria (054)",29,8,21
"Superior no univ. incompleta (055)",2,,2
"Superior no univ. completa (056)",3,1,2
"Superior univ. incompleta (057)",1,1,
"Superior univ. completa (058)",8,,8
"De 14 a 29 años (060)",36,14,22
"Primaria (063)",8,4,4
"Secundaria (064)",19,8,11
"Superior no univ. incompleta (065)",1,,1
"Superior no univ. completa (066)",2,1,1
"Superior univ. incompleta (067)",1,1,
"Superior univ. completa (068)",5,,5
"De 30 a 44 años (070)",16,,16
"Sin nivel (071)",1,,1
"Primaria (073)",4,,4
"Secundaria (074)",7,,7
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",1,,1
"Superior univ. completa (078)",2,,2
"De 45 a 64 años (080)",7,1,6
"Primaria (083)",4,1,3
"Secundaria (084)",3,,3
"De 65 y más años (090)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",49,15,34
"Sin nivel (101)",2,,2
"Primaria (103)",22,6,16
"Secundaria (104)",19,7,12
"Superior no univ. incompleta (105)",1,,1
"Superior no univ. completa (106)",3,,3
"Superior univ. incompleta (107)",1,1,
"Superior univ. completa (108)",1,1,
"De 14 a 29 años (110)",16,8,8
"Primaria (113)",4,2,2
"Secundaria (114)",7,4,3
"Superior no univ. incompleta (115)",1,,1
"Superior no univ. completa (116)",2,,2
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",1,1,
"De 30 a 44 años (120)",16,7,9
"Primaria (123)",7,4,3
"Secundaria (124)",8,3,5
"Superior no univ. completa (126)",1,,1
"De 45 a 64 años (130)",12,,12
"Sin nivel (131)",2,,2
"Primaria (133)",9,,9
"Secundaria (134)",1,,1
"De 65 y más años (140)",5,,5
"Primaria (143)",2,,2
"Secundaria (144)",3,,3
