"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia ICA",,,,,
"Viviendas particulares (001)",12544,1041,2551,6237,2715
"Ocupantes presentes (002)",52961,4037,10499,26765,11660
"Casa independiente",,,,,
"Viviendas particulares (004)",10932,909,2228,5460,2335
"Ocupantes presentes (005)",46402,3601,9216,23415,10170
"Departamento en edificio",,,,,
"Viviendas particulares (007)",34,10,1,6,17
"Ocupantes presentes (008)",126,33,4,21,68
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",39,5,3,16,15
"Ocupantes presentes (011)",126,9,7,51,59
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",68,5,13,31,19
"Ocupantes presentes (014)",259,18,50,123,68
"Choza o cabaña",,,,,
"Viviendas particulares (016)",42,6,12,24,
"Ocupantes presentes (017)",167,18,52,97,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",1412,105,291,690,326
"Ocupantes presentes (020)",5822,356,1166,3022,1278
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",17,1,3,10,3
"Ocupantes presentes (023)",59,2,4,36,17
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",10193,871,1633,5106,2583
"Ocupantes presentes (029)",43204,3414,6587,22067,11136
"Casa independiente",,,,,
"Viviendas particulares (031)",8625,745,1322,4355,2203
"Ocupantes presentes (032)",36820,2996,5356,18822,9646
"Departamento en edificio",,,,,
"Viviendas particulares (034)",34,10,1,6,17
"Ocupantes presentes (035)",126,33,4,21,68
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",39,5,3,16,15
"Ocupantes presentes (038)",126,9,7,51,59
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",68,5,13,31,19
"Ocupantes presentes (041)",259,18,50,123,68
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",1412,105,291,690,326
"Ocupantes presentes (047)",5822,356,1166,3022,1278
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",15,1,3,8,3
"Ocupantes presentes (050)",51,2,4,28,17
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",2351,170,918,1131,132
"Ocupantes presentes (056)",9757,623,3912,4698,524
"Casa independiente",,,,,
"Viviendas particulares (058)",2307,164,906,1105,132
"Ocupantes presentes (059)",9582,605,3860,4593,524
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",42,6,12,24,
"Ocupantes presentes (071)",167,18,52,97,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (076)",2,,,2,
"Ocupantes presentes (077)",8,,,8,
"Otro tipo",,,,,
