"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia PARURO",,,,,,,
"Viviendas particulares (001)",8302,473,243,169,6290,930,197
"Ocupantes presentes (002)",30753,1487,692,670,23355,3852,697
"Casa independiente",,,,,,,
"Viviendas particulares (004)",7412,453,240,169,6221,155,174
"Ocupantes presentes (005)",27092,1434,682,670,23150,533,623
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",22,2,,,9,8,3
"Ocupantes presentes (014)",68,4,,,34,22,8
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",859,17,3,,56,765,18
"Ocupantes presentes (017)",3572,48,10,,158,3295,61
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,1,,,4,1,1
"Ocupantes presentes (023)",18,1,,,13,1,3
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,,1,1
"Ocupantes presentes (026)",3,,,,,1,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2987,329,194,75,2225,70,94
"Ocupantes presentes (029)",10445,1010,523,266,8079,225,342
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2959,327,194,75,2212,60,91
"Ocupantes presentes (032)",10362,1006,523,266,8032,201,334
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",22,2,,,9,8,3
"Ocupantes presentes (041)",68,4,,,34,22,8
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",5,,,,4,1,
"Ocupantes presentes (050)",14,,,,13,1,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,,1,
"Ocupantes presentes (053)",1,,,,,1,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",5315,144,49,94,4065,860,103
"Ocupantes presentes (056)",20308,477,169,404,15276,3627,355
"Casa independiente",,,,,,,
"Viviendas particulares (058)",4453,126,46,94,4009,95,83
"Ocupantes presentes (059)",16730,428,159,404,15118,332,289
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",859,17,3,,56,765,18
"Ocupantes presentes (071)",3572,48,10,,158,3295,61
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,1,,,,,1
"Ocupantes presentes (077)",4,1,,,,,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,,,1
"Ocupantes presentes (080)",2,,,,,,2
