"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHUCUITO (000)",30747,185,596,1670,3455,5883,10282,8676
"De 12 a 14 años (001)",29,,,,,,1,28
"De 15 a 19 años (002)",719,,,,,,440,279
"De 20 a 24 años (003)",3202,,,,,6,1901,1295
"De 25 a 29 años (004)",4179,,,,,137,2628,1414
"De 30 a 34 años (005)",3573,,,,,508,2099,966
"De 35 a 39 años (006)",3520,,,,29,1040,1681,770
"De 40 a 44 años (007)",2916,,,1,145,1167,973,630
"De 45 a 49 años (008)",2633,,,10,417,1224,456,526
"De 50 y más años (009)",9976,185,596,1659,2864,1801,103,2768
"PEA (010)",13719,29,146,551,1508,2843,4704,3938
"De 12 a 14 años (011)",3,,,,,,1,2
"De 15 a 19 años (012)",260,,,,,,161,99
"De 20 a 24 años (013)",1429,,,,,4,797,628
"De 25 a 29 años (014)",2024,,,,,75,1203,746
"De 30 a 34 años (015)",1799,,,,,263,1020,516
"De 35 a 39 años (016)",1732,,,,17,507,821,387
"De 40 a 44 años (017)",1421,,,,74,571,446,330
"De 45 a 49 años (018)",1283,,,3,211,585,213,271
"De 50 y más años (019)",3768,29,146,548,1206,838,42,959
"Ocupada (020)",13210,29,146,545,1490,2778,4530,3692
"De 12 a 14 años (021)",2,,,,,,1,1
"De 15 a 19 años (022)",242,,,,,,153,89
"De 20 a 24 años (023)",1321,,,,,2,755,564
"De 25 a 29 años (024)",1918,,,,,73,1161,684
"De 30 a 34 años (025)",1714,,,,,258,980,476
"De 35 a 39 años (026)",1662,,,,17,487,793,365
"De 40 a 44 años (027)",1385,,,,72,562,433,318
"De 45 a 49 años (028)",1251,,,3,209,572,212,255
"De 50 y más años (029)",3715,29,146,542,1192,824,42,940
"Desocupada (030)",509,,,6,18,65,174,246
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",18,,,,,,8,10
"De 20 a 24 años (033)",108,,,,,2,42,64
"De 25 a 29 años (034)",106,,,,,2,42,62
"De 30 a 34 años (035)",85,,,,,5,40,40
"De 35 a 39 años (036)",70,,,,,20,28,22
"De 40 a 44 años (037)",36,,,,2,9,13,12
"De 45 a 49 años (038)",32,,,,2,13,1,16
"De 50 y más años (039)",53,,,6,14,14,,19
"No PEA (040)",17028,156,450,1119,1947,3040,5578,4738
"De 12 a 14 años (041)",26,,,,,,,26
"De 15 a 19 años (042)",459,,,,,,279,180
"De 20 a 24 años (043)",1773,,,,,2,1104,667
"De 25 a 29 años (044)",2155,,,,,62,1425,668
"De 30 a 34 años (045)",1774,,,,,245,1079,450
