"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9588,428,6,5848,2149,201,572,82,302
"Empleado (001)",1068,4,1,93,183,75,428,43,241
"Obrero (002)",1666,95,3,1128,404,16,11,4,5
"Trabajador independiente (003)",4678,225,2,3148,1042,86,105,22,48
"Empleador o patrono (004)",240,10,,154,61,3,8,1,3
"Trabajador familiar no remunerado (005)",1801,92,,1243,419,19,14,9,5
"Trabajador del hogar (006)",135,2,,82,40,2,6,3,
"Hombres (008)",7827,327,4,4961,1815,137,344,52,187
"Empleado (009)",614,1,,45,125,43,236,24,140
"Obrero (010)",1457,70,3,979,373,14,10,4,4
"Trabajador independiente (011)",4127,180,1,2825,918,69,80,18,36
"Empleador o patrono (012)",203,6,,133,51,3,6,1,3
"Trabajador familiar no remunerado (013)",1423,70,,977,347,8,12,5,4
"Trabajador del hogar (014)",3,,,2,1,,,,
"Mujeres (016)",1761,101,2,887,334,64,228,30,115
"Empleado (017)",454,3,1,48,58,32,192,19,101
"Obrero (018)",209,25,,149,31,2,1,,1
"Trabajador independiente (019)",551,45,1,323,124,17,25,4,12
"Empleador o patrono (020)",37,4,,21,10,,2,,
"Trabajador familiar no remunerado (021)",378,22,,266,72,11,2,4,1
"Trabajador del hogar (022)",132,2,,80,39,2,6,3,
,,,,,,,,,
"URBANA (024)",3239,84,3,1408,886,143,392,68,255
"Empleado (025)",821,3,1,67,151,60,300,35,204
"Obrero (026)",393,17,1,204,145,12,8,2,4
"Trabajador independiente (027)",1477,41,1,828,424,56,67,19,41
"Empleador o patrono (028)",62,3,,25,24,1,6,1,2
"Trabajador familiar no remunerado (029)",398,20,,234,114,12,6,8,4
"Trabajador del hogar (030)",88,,,50,28,2,5,3,
"Hombres (032)",2283,55,1,1030,680,91,224,43,159
"Empleado (033)",469,,,33,104,33,160,20,119
"Obrero (034)",339,13,1,166,135,11,7,2,4
"Trabajador independiente (035)",1156,26,,659,334,42,48,16,31
"Empleador o patrono (036)",49,3,,20,17,1,5,1,2
"Trabajador familiar no remunerado (037)",269,13,,152,89,4,4,4,3
"Trabajador del hogar (038)",1,,,,1,,,,
"Mujeres (040)",956,29,2,378,206,52,168,25,96
"Empleado (041)",352,3,1,34,47,27,140,15,85
"Obrero (042)",54,4,,38,10,1,1,,
"Trabajador independiente (043)",321,15,1,169,90,14,19,3,10
"Empleador o patrono (044)",13,,,5,7,,1,,
"Trabajador familiar no remunerado (045)",129,7,,82,25,8,2,4,1
"Trabajador del hogar (046)",87,,,50,27,2,5,3,
,,,,,,,,,
"RURAL (048)",6349,344,3,4440,1263,58,180,14,47
"Empleado (049)",247,1,,26,32,15,128,8,37
"Obrero (050)",1273,78,2,924,259,4,3,2,1
"Trabajador independiente (051)",3201,184,1,2320,618,30,38,3,7
"Empleador o patrono (052)",178,7,,129,37,2,2,,1
"Trabajador familiar no remunerado (053)",1403,72,,1009,305,7,8,1,1
"Trabajador del hogar (054)",47,2,,32,12,,1,,
"Hombres (056)",5544,272,3,3931,1135,46,120,9,28
"Empleado (057)",145,1,,12,21,10,76,4,21
"Obrero (058)",1118,57,2,813,238,3,3,2,
"Trabajador independiente (059)",2971,154,1,2166,584,27,32,2,5
"Empleador o patrono (060)",154,3,,113,34,2,1,,1
"Trabajador familiar no remunerado (061)",1154,57,,825,258,4,8,1,1
"Trabajador del hogar (062)",2,,,2,,,,,
"Mujeres (064)",805,72,,509,128,12,60,5,19
"Empleado (065)",102,,,14,11,5,52,4,16
"Obrero (066)",155,21,,111,21,1,,,1
"Trabajador independiente (067)",230,30,,154,34,3,6,1,2
"Empleador o patrono (068)",24,4,,16,3,,1,,
"Trabajador familiar no remunerado (069)",249,15,,184,47,3,,,
"Trabajador del hogar (070)",45,2,,30,12,,1,,
