"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BOLIVAR (000)",15291,3225,498,7874,2632,215,467,88,292
"Jefe o Jefa (001)",3834,702,,2043,611,71,215,29,163
"Esposa(o)/ compa¤era(o) (002)",2521,590,1,1346,342,46,114,21,61
"Hijo(a)/ hijastro(a) (003)",6897,1403,390,3588,1343,68,66,19,20
"Yerno/ nuera (004)",120,5,,45,36,5,13,7,9
"Nieto(a) (005)",645,181,70,301,84,4,3,1,1
"Padres/ suegros (006)",148,88,,54,5,,1,,
"Otro(a) pariente (007)",889,221,30,422,175,11,15,7,8
"Trabajador(a) del hogar (008)",33,8,,18,6,1,,,
"Pensionista (009)",27,1,,1,1,1,16,1,6
"Otro(a) no pariente (010)",177,26,7,56,29,8,24,3,24
"Hombres (012)",7902,1367,259,4164,1527,108,248,41,188
"Jefe o Jefa (013)",2875,372,,1618,503,59,161,22,140
"Esposa(o)/ compa¤era(o) (014)",229,22,,144,42,2,18,,1
"Hijo(a)/ hijastro(a) (015)",3726,722,198,1936,785,30,34,8,13
"Yerno/ nuera (016)",45,,,17,12,1,1,6,8
"Nieto(a) (017)",346,100,40,155,48,,2,1,
"Padres/ suegros (018)",43,17,,23,2,,1,,
"Otro(a) pariente (019)",498,114,15,233,112,8,8,2,6
"Trabajador(a) del hogar (020)",10,4,,3,2,1,,,
"Pensionista (021)",15,1,,1,1,,10,,2
"Otro(a) no pariente (022)",115,15,6,34,20,7,13,2,18
"Mujeres (024)",7389,1858,239,3710,1105,107,219,47,104
"Jefe o Jefa (025)",959,330,,425,108,12,54,7,23
"Esposa(o)/ compa¤era(o) (026)",2292,568,1,1202,300,44,96,21,60
"Hijo(a)/ hijastro(a) (027)",3171,681,192,1652,558,38,32,11,7
"Yerno/ nuera (028)",75,5,,28,24,4,12,1,1
"Nieto(a) (029)",299,81,30,146,36,4,1,,1
"Padres/ suegros (030)",105,71,,31,3,,,,
"Otro(a) pariente (031)",391,107,15,189,63,3,7,5,2
"Trabajador(a) del hogar (032)",23,4,,15,4,,,,
"Pensionista (033)",12,,,,,1,6,1,4
"Otro(a) no pariente (034)",62,11,1,22,9,1,11,1,6
,,,,,,,,,
"URBANA (036)",5334,685,212,2339,1359,145,321,57,216
"Jefe o Jefa (037)",1420,108,,627,349,48,161,19,108
"Esposa(o)/ compa¤era(o) (038)",895,119,,396,195,31,77,17,60
"Hijo(a)/ hijastro(a) (039)",2267,313,166,1019,657,45,40,10,17
"Yerno/ nuera (040)",44,,,15,13,2,6,4,4
"Nieto(a) (041)",224,51,33,93,43,2,2,,
"Padres/ suegros (042)",59,25,,32,2,,,,
"Otro(a) pariente (043)",280,52,10,120,73,8,11,3,3
"Trabajador(a) del hogar (044)",22,3,,14,4,1,,,
"Pensionista (045)",21,1,,1,1,1,10,1,6
"Otro(a) no pariente (046)",102,13,3,22,22,7,14,3,18
"Hombres (048)",2671,257,105,1158,763,72,165,24,127
"Jefe o Jefa (049)",1057,32,,468,292,38,120,14,93
