"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia GRAU (000)",6462,183,2843,1952,663,197,87,36,6,,495
"Catolica (001)",5805,168,2563,1723,599,179,74,34,5,,460
"Cristiana / Evangelica (002)",542,12,230,189,53,16,10,2,1,,29
"Otra (003)",85,1,34,32,9,2,3,,,,4
"Ninguna (004)",30,2,16,8,2,,,,,,2
,,,,,,,,,,,
"URBANA (006)",2572,40,1052,809,303,98,50,14,3,,203
"Catolica (007)",2288,34,936,713,272,89,41,13,2,,188
"Cristiana / Evangelica (008)",258,5,106,87,29,9,7,1,1,,13
"Otra (009)",13,1,4,5,1,,2,,,,
"Ninguna (010)",13,,6,4,1,,,,,,2
,,,,,,,,,,,
"RURAL (012)",3890,143,1791,1143,360,99,37,22,3,,292
"Catolica (013)",3517,134,1627,1010,327,90,33,21,3,,272
"Cristiana / Evangelica (014)",284,7,124,102,24,7,3,1,,,16
"Otra (015)",72,,30,27,8,2,1,,,,4
"Ninguna (016)",17,2,10,4,1,,,,,,
