"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia HUAYTARA",,,
"Viviendas particulares (001)",2853,2687,166
"Ocupantes presentes (002)",8900,8359,541
"Casa independiente",,,
"Viviendas particulares (004)",2756,2595,161
"Ocupantes presentes (005)",8535,8016,519
"Departamento en edificio",,,
"Viviendas particulares (007)",6,6,
"Ocupantes presentes (008)",24,24,
"Vivienda en quinta",,,
"Viviendas particulares (010)",18,17,1
"Ocupantes presentes (011)",61,59,2
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",30,30,
"Ocupantes presentes (014)",98,98,
"Choza o cabaña",,,
"Viviendas particulares (016)",38,34,4
"Ocupantes presentes (017)",175,155,20
"Vivienda improvisada",,,
"Viviendas particulares (019)",1,1,
"Ocupantes presentes (020)",1,1,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",4,4,
"Ocupantes presentes (023)",6,6,
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",1499,1388,111
"Ocupantes presentes (029)",4865,4496,369
"Casa independiente",,,
"Viviendas particulares (031)",1442,1332,110
"Ocupantes presentes (032)",4677,4310,367
"Departamento en edificio",,,
"Viviendas particulares (034)",6,6,
"Ocupantes presentes (035)",24,24,
"Vivienda en quinta",,,
"Viviendas particulares (037)",18,17,1
"Ocupantes presentes (038)",61,59,2
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",30,30,
"Ocupantes presentes (041)",98,98,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",1,1,
"Ocupantes presentes (047)",1,1,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",2,2,
"Ocupantes presentes (050)",4,4,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",1354,1299,55
"Ocupantes presentes (056)",4035,3863,172
"Casa independiente",,,
"Viviendas particulares (058)",1314,1263,51
"Ocupantes presentes (059)",3858,3706,152
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",38,34,4
"Ocupantes presentes (071)",175,155,20
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",2,2,
"Ocupantes presentes (077)",2,2,
"Otro tipo",,,
