"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia OTUZCO (000)",21965,9170,12795
"Red pública dentro de la vivienda (001)",9539,5939,3600
"Red pública fuera de la vivienda (002)",2013,1002,1011
"Pilón de uso público (003)",229,104,125
"Camión - cisterna u otro similar (004)",7,3,4
"Pozo (005)",2939,429,2510
"Río, acequia, manatial o similar (006)",6439,1414,5025
"Vecino (007)",667,230,437
"Otro (008)",132,49,83
,,,
"URBANA (010)",5699,4765,934
"Red pública dentro de la vivienda (011)",4011,3651,360
"Red pública fuera de la vivienda (012)",646,475,171
"Pilón de uso público (013)",97,71,26
"Camión - cisterna u otro similar (014)",2,1,1
"Pozo (015)",96,32,64
"Río, acequia, manatial o similar (016)",530,388,142
"Vecino (017)",254,117,137
"Otro (018)",63,30,33
,,,
"RURAL (020)",16266,4405,11861
"Red pública dentro de la vivienda (021)",5528,2288,3240
"Red pública fuera de la vivienda (022)",1367,527,840
"Pilón de uso público (023)",132,33,99
"Camión - cisterna u otro similar (024)",5,2,3
"Pozo (025)",2843,397,2446
"Río, acequia, manatial o similar (026)",5909,1026,4883
"Vecino (027)",413,113,300
"Otro (028)",69,19,50
