"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia PATAZ",,,,,,,,,
"Hogares (001)",16622,276,125,96,71,61,44,46,15903
"Ocupantes presentes (002)",73667,1020,388,336,279,280,213,251,70900
"Casa independiente",,,,,,,,,
"Hogares (004)",16094,270,121,90,66,59,39,43,15406
"Ocupantes presentes (005)",71505,1003,372,316,264,270,190,239,68851
"Departamento en edificio",,,,,,,,,
"Hogares (007)",5,,,1,,,1,,3
"Ocupantes presentes (008)",19,,,3,,,3,,13
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",57,1,2,3,3,,2,2,44
"Ocupantes presentes (011)",185,1,8,9,10,,12,9,136
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",112,3,1,2,1,1,1,1,102
"Ocupantes presentes (014)",378,5,6,8,1,5,2,3,348
"Choza o cabaña",,,,,,,,,
"Hogares (016)",324,2,1,,1,1,,,319
"Ocupantes presentes (017)",1447,11,2,,4,5,,,1425
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",11,,,,,,,,11
"Ocupantes presentes (020)",45,,,,,,,,45
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",15,,,,,,1,,14
"Ocupantes presentes (023)",64,,,,,,6,,58
"Otro tipo",,,,,,,,,
"Hogares (025)",4,,,,,,,,4
"Ocupantes presentes (026)",24,,,,,,,,24
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4728,141,71,59,44,32,26,29,4326
"Ocupantes presentes (029)",18855,509,212,205,183,148,115,151,17332
"Casa independiente",,,,,,,,,
"Hogares (031)",4537,137,68,53,40,31,22,26,4160
"Ocupantes presentes (032)",18211,503,198,185,172,143,98,139,16773
"Departamento en edificio",,,,,,,,,
"Hogares (034)",5,,,1,,,1,,3
"Ocupantes presentes (035)",19,,,3,,,3,,13
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",57,1,2,3,3,,2,2,44
"Ocupantes presentes (038)",185,1,8,9,10,,12,9,136
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",112,3,1,2,1,1,1,1,102
"Ocupantes presentes (041)",378,5,6,8,1,5,2,3,348
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",11,,,,,,,,11
"Ocupantes presentes (047)",45,,,,,,,,45
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,,,,,,,6
"Ocupantes presentes (050)",17,,,,,,,,17
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",11894,135,54,37,27,29,18,17,11577
"Ocupantes presentes (056)",54812,511,176,131,96,132,98,100,53568
"Casa independiente",,,,,,,,,
"Hogares (058)",11557,133,53,37,26,28,17,17,11246
"Ocupantes presentes (059)",53294,500,174,131,92,127,92,100,52078
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",324,2,1,,1,1,,,319
"Ocupantes presentes (071)",1447,11,2,,4,5,,,1425
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",9,,,,,,1,,8
"Ocupantes presentes (077)",47,,,,,,6,,41
"Otro tipo",,,,,,,,,
"Hogares (079)",4,,,,,,,,4
"Ocupantes presentes (080)",24,,,,,,,,24
