"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia UTCUBAMBA (000)",25699,68,327,1023,2568,5591,11083,5039
"De 12 a 14 años (001)",37,,,,,,6,31
"De 15 a 19 años (002)",1082,,,,,,705,377
"De 20 a 24 años (003)",3253,,,,,21,2257,975
"De 25 a 29 años (004)",3714,,,,,250,2647,817
"De 30 a 34 años (005)",3513,,,,1,678,2251,583
"De 35 a 39 años (006)",3204,,,,33,1014,1708,449
"De 40 a 44 años (007)",2587,,,,164,1078,984,361
"De 45 a 49 años (008)",2145,,,8,337,1096,438,266
"De 50 y más años (009)",6164,68,327,1015,2033,1454,87,1180
"PEA (010)",5153,4,20,137,459,1337,1853,1343
"De 12 a 14 años (011)",4,,,,,,,4
"De 15 a 19 años (012)",130,,,,,,74,56
"De 20 a 24 años (013)",533,,,,,4,299,230
"De 25 a 29 años (014)",653,,,,,53,370,230
"De 30 a 34 años (015)",818,,,,,187,430,201
"De 35 a 39 años (016)",848,,,,13,276,380,179
"De 40 a 44 años (017)",706,,,,52,298,230,126
"De 45 a 49 años (018)",529,,,2,87,275,60,105
"De 50 y más años (019)",932,4,20,135,307,244,10,212
"Ocupada (020)",4977,3,20,135,455,1315,1786,1263
"De 12 a 14 años (021)",4,,,,,,,4
"De 15 a 19 años (022)",114,,,,,,67,47
"De 20 a 24 años (023)",493,,,,,4,281,208
"De 25 a 29 años (024)",611,,,,,50,354,207
"De 30 a 34 años (025)",789,,,,,184,414,191
"De 35 a 39 años (026)",834,,,,13,272,374,175
"De 40 a 44 años (027)",695,,,,51,294,227,123
"De 45 a 49 años (028)",522,,,2,86,273,59,102
"De 50 y más años (029)",915,3,20,133,305,238,10,206
"Desocupada (030)",176,1,,2,4,22,67,80
"De 15 a 19 años (032)",16,,,,,,7,9
"De 20 a 24 años (033)",40,,,,,,18,22
"De 25 a 29 años (034)",42,,,,,3,16,23
"De 30 a 34 años (035)",29,,,,,3,16,10
"De 35 a 39 años (036)",14,,,,,4,6,4
"De 40 a 44 años (037)",11,,,,1,4,3,3
"De 45 a 49 años (038)",7,,,,1,2,1,3
"De 50 y más años (039)",17,1,,2,2,6,,6
"No PEA (040)",20546,64,307,886,2109,4254,9230,3696
"De 12 a 14 años (041)",33,,,,,,6,27
"De 15 a 19 años (042)",952,,,,,,631,321
"De 20 a 24 años (043)",2720,,,,,17,1958,745
"De 25 a 29 años (044)",3061,,,,,197,2277,587
"De 30 a 34 años (045)",2695,,,,1,491,1821,382
"De 35 a 39 años (046)",2356,,,,20,738,1328,270
"De 40 a 44 años (047)",1881,,,,112,780,754,235
