"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CORONGO (000)",2196,18,872,721,249,83,37,14,1,,201
"Conviviente (001)",813,7,343,283,80,18,13,3,,,66
"Separado(a) (002)",89,2,34,32,13,6,1,,,,1
"Casado(a) (003)",846,5,348,272,105,37,13,8,,,58
"Viudo(a) (004)",254,3,100,78,32,13,6,1,,,21
"Divorciado(a) (005)",10,,3,4,1,,,,1,,1
"Soltero(a) (006)",184,1,44,52,18,9,4,2,,,54
,,,,,,,,,,,
"URBANA (008)",1172,9,396,369,173,57,27,11,1,,129
"Conviviente (009)",359,6,124,125,46,9,10,3,,,36
"Separado(a) (010)",53,1,17,19,9,5,1,,,,1
"Casado(a) (011)",513,2,186,155,81,28,12,6,,,43
"Viudo(a) (012)",134,,44,42,23,9,2,1,,,13
"Divorciado(a) (013)",10,,3,4,1,,,,1,,1
"Soltero(a) (014)",103,,22,24,13,6,2,1,,,35
,,,,,,,,,,,
"RURAL (016)",1024,9,476,352,76,26,10,3,,,72
"Conviviente (017)",454,1,219,158,34,9,3,,,,30
"Separado(a) (018)",36,1,17,13,4,1,,,,,
"Casado(a) (019)",333,3,162,117,24,9,1,2,,,15
"Viudo(a) (020)",120,3,56,36,9,4,4,,,,8
"Soltero(a) (022)",81,1,22,28,5,3,2,1,,,19
