"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia LAMPA",,,,,,,,,
"Hogares (001)",13352,211,106,58,71,40,21,31,12814
"Ocupantes presentes (002)",46649,551,284,181,277,185,85,182,44904
"Casa independiente",,,,,,,,,
"Hogares (004)",8441,147,64,40,53,31,18,22,8066
"Ocupantes presentes (005)",29799,395,184,125,207,140,70,121,28557
"Departamento en edificio",,,,,,,,,
"Hogares (007)",4,,1,,,,,,3
"Ocupantes presentes (008)",15,,4,,,,,,11
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",9,1,1,,,,,,7
"Ocupantes presentes (011)",19,4,1,,,,,,14
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",136,2,2,,,2,,2,128
"Ocupantes presentes (014)",504,18,9,,,9,,10,458
"Choza o cabaña",,,,,,,,,
"Hogares (016)",4745,61,38,18,18,7,3,7,4593
"Ocupantes presentes (017)",16250,134,86,56,70,36,15,51,15802
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,,,,,,,2
"Ocupantes presentes (020)",6,,,,,,,,6
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",12,,,,,,,,12
"Ocupantes presentes (023)",50,,,,,,,,50
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,,,,,,,3
"Ocupantes presentes (026)",6,,,,,,,,6
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4992,112,53,32,44,28,10,22,4691
"Ocupantes presentes (029)",18125,331,157,101,176,127,36,118,17079
"Casa independiente",,,,,,,,,
"Hogares (031)",4831,109,49,32,44,26,10,20,4541
"Ocupantes presentes (032)",17533,309,143,101,176,118,36,108,16542
"Departamento en edificio",,,,,,,,,
"Hogares (034)",4,,1,,,,,,3
"Ocupantes presentes (035)",15,,4,,,,,,11
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",9,1,1,,,,,,7
"Ocupantes presentes (038)",19,4,1,,,,,,14
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",136,2,2,,,2,,2,128
"Ocupantes presentes (041)",504,18,9,,,9,,10,458
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,,,,,,,2
"Ocupantes presentes (047)",6,,,,,,,,6
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",9,,,,,,,,9
"Ocupantes presentes (050)",44,,,,,,,,44
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",4,,,,,,,,4
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",8360,99,53,26,27,12,11,9,8123
"Ocupantes presentes (056)",28524,220,127,80,101,58,49,64,27825
"Casa independiente",,,,,,,,,
"Hogares (058)",3610,38,15,8,9,5,8,2,3525
"Ocupantes presentes (059)",12266,86,41,24,31,22,34,13,12015
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",4745,61,38,18,18,7,3,7,4593
"Ocupantes presentes (071)",16250,134,86,56,70,36,15,51,15802
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",6,,,,,,,,6
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",2,,,,,,,,2
