"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHUPACA (000)",49021,3125,5468,1216,39258
"Quechua (001)",3162,57,235,57,2814
"Aymara (002)",17,,1,,16
"Asháninka (003)",9,,1,1,8
"Otra lengua nativa (004)",135,4,27,12,92
"Castellano (005)",45616,3052,5204,1142,36262
"Idioma Extranjero (006)",2,,,2,
"Es Sordomudo/a (007)",80,12,,2,66
"Hombres (009)",23634,1484,2789,706,18681
"Quechua (010)",1257,22,127,35,1073
"Aymara (011)",7,,,,7
"Asháninka (012)",9,,1,1,8
"Otra lengua nativa (013)",58,1,12,8,37
"Castellano (014)",22264,1458,2649,661,17521
"Es Sordomudo/a (016)",39,3,,1,35
"Mujeres (018)",25387,1641,2679,510,20577
"Quechua (019)",1905,35,108,22,1741
"Aymara (020)",10,,1,,9
"Otra lengua nativa (022)",77,3,15,4,55
"Castellano (023)",23352,1594,2555,481,18741
"Idioma Extranjero (024)",2,,,2,
"Es Sordomudo/a (025)",41,9,,1,31
,,,,,
"URBANA (027)",29666,1663,4170,978,22892
"Quechua (028)",1813,39,185,38,1552
"Aymara (029)",13,,1,,12
"Asháninka (030)",8,,1,1,7
"Otra lengua nativa (031)",129,4,26,12,87
"Castellano (032)",27653,1614,3957,923,21194
"Idioma Extranjero (033)",2,,,2,
"Es Sordomudo/a (034)",48,6,,2,40
"Hombres (036)",14451,782,2106,572,11009
"Quechua (037)",783,18,101,23,641
"Aymara (038)",5,,,,5
"Asháninka (039)",8,,1,1,7
"Otra lengua nativa (040)",56,1,12,8,35
"Castellano (041)",13577,762,1992,539,10301
"Es Sordomudo/a (043)",22,1,,1,20
"Mujeres (045)",15215,881,2064,406,11883
"Quechua (046)",1030,21,84,15,911
"Aymara (047)",8,,1,,7
"Otra lengua nativa (049)",73,3,14,4,52
"Castellano (050)",14076,852,1965,384,10893
"Idioma Extranjero (051)",2,,,2,
"Es Sordomudo/a (052)",26,5,,1,20
,,,,,
"RURAL (054)",19355,1462,1298,238,16366
"Quechua (055)",1349,18,50,19,1262
"Aymara (056)",4,,,,4
"Asháninka (057)",1,,,,1
"Otra lengua nativa (058)",6,,1,,5
"Castellano (059)",17963,1438,1247,219,15068
"Es Sordomudo/a (061)",32,6,,,26
"Hombres (063)",9183,702,683,134,7672
"Quechua (064)",474,4,26,12,432
"Aymara (065)",2,,,,2
"Asháninka (066)",1,,,,1
"Otra lengua nativa (067)",2,,,,2
"Castellano (068)",8687,696,657,122,7220
"Es Sordomudo/a (070)",17,2,,,15
"Mujeres (072)",10172,760,615,104,8694
"Quechua (073)",875,14,24,7,830
"Aymara (074)",2,,,,2
"Otra lengua nativa (076)",4,,1,,3
"Castellano (077)",9276,742,590,97,7848
"Es Sordomudo/a (079)",15,4,,,11
