"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LORETO (000)",18412,17948,5219,2144,2079,1656,2492,1809,1235,1314,464,59601
"De 12 a 14 años (001)",2441,2412,2390,21,1,,,,,,29,23
"De 15 a 19 años (002)",3196,3091,2077,751,229,27,7,,,,105,1318
"De 20 a 24 años (003)",2561,2434,403,715,757,379,165,15,,,127,4163
"De 25 a 29 años (004)",2063,1977,131,300,496,485,468,89,8,,86,5409
"De 30 a 34 años (005)",1706,1680,59,150,256,305,576,261,59,14,26,6443
"De 35 a 39 años (006)",1607,1583,50,80,143,177,501,380,187,65,24,7879
"De 40 a 44 años (007)",1248,1238,33,43,73,111,298,331,219,130,10,7305
"De 45 a 49 años (008)",994,985,19,27,56,61,157,229,221,215,9,6816
"De 50 y más años (009)",2596,2548,57,57,68,111,320,504,541,890,48,20245
"PEA (010)",4399,4252,645,511,572,454,734,539,393,404,147,17750
"De 12 a 14 años (011)",97,93,92,1,,,,,,,4,1
"De 15 a 19 años (012)",417,393,268,100,20,3,2,,,,24,157
"De 20 a 24 años (013)",539,502,132,130,149,61,28,2,,,37,743
"De 25 a 29 años (014)",551,511,60,112,125,94,106,11,3,,40,1196
"De 30 a 34 años (015)",564,547,34,73,110,107,141,66,13,3,17,1803
"De 35 a 39 años (016)",547,537,19,31,75,70,184,105,44,9,10,2357
"De 40 a 44 años (017)",454,452,13,25,37,53,117,102,65,40,2,2420
"De 45 a 49 años (018)",400,397,8,19,28,29,66,93,89,65,3,2552
"De 50 y más años (019)",830,820,19,20,28,37,90,160,179,287,10,6521
"Ocupada (020)",4148,4020,548,467,542,436,715,530,383,399,128,17304
"De 12 a 14 años (021)",79,77,76,1,,,,,,,2,1
"De 15 a 19 años (022)",345,325,215,88,18,2,2,,,,20,138
