"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia UTCUBAMBA (000)",25611,11521,14090
"Red pública dentro de la vivienda (001)",6837,5671,1166
"Red pública fuera de la vivienda (002)",3172,1983,1189
"Pilón de uso público (003)",495,198,297
"Camión - cisterna u otro similar (004)",28,10,18
"Pozo (005)",2389,269,2120
"Río, acequia, manatial o similar (006)",11692,3050,8642
"Vecino (007)",854,309,545
"Otro (008)",144,31,113
,,,
"URBANA (010)",11558,9205,2353
"Red pública dentro de la vivienda (011)",5851,5353,498
"Red pública fuera de la vivienda (012)",1987,1712,275
"Pilón de uso público (013)",268,155,113
"Camión - cisterna u otro similar (014)",14,7,7
"Pozo (015)",263,214,49
"Río, acequia, manatial o similar (016)",2557,1463,1094
"Vecino (017)",545,271,274
"Otro (018)",73,30,43
,,,
"RURAL (020)",14053,2316,11737
"Red pública dentro de la vivienda (021)",986,318,668
"Red pública fuera de la vivienda (022)",1185,271,914
"Pilón de uso público (023)",227,43,184
"Camión - cisterna u otro similar (024)",14,3,11
"Pozo (025)",2126,55,2071
"Río, acequia, manatial o similar (026)",9135,1587,7548
"Vecino (027)",309,38,271
"Otro (028)",71,1,70
