"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUARMEY (000)",10201,9799,2644,1608,1581,1113,1364,784,705,402
"Católica (001)",8802,8442,2299,1412,1376,976,1173,639,567,360
"Cristiana/Evangélica (002)",1095,1064,241,140,159,112,161,129,122,31
"Otra (003)",151,142,49,23,17,14,17,10,12,9
"Ninguna (004)",153,151,55,33,29,11,13,6,4,2
,,,,,,,,,,
"URBANA (006)",7976,7615,2087,1274,1302,898,1023,563,468,361
"Católica (007)",6889,6564,1805,1109,1134,792,886,466,372,325
"Cristiana/Evangélica (008)",810,784,184,112,128,83,111,85,81,26
"Otra (009)",142,133,46,22,15,14,17,7,12,9
"Ninguna (010)",135,134,52,31,25,9,9,5,3,1
,,,,,,,,,,
"RURAL (012)",2225,2184,557,334,279,215,341,221,237,41
"Católica (013)",1913,1878,494,303,242,184,287,173,195,35
"Cristiana/Evangélica (014)",285,280,57,28,31,29,50,44,41,5
"Otra (015)",9,9,3,1,2,,,3,,
"Ninguna (016)",18,17,3,2,4,2,4,1,1,1
