"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TRUJILLO (000)",761991,61972,21716,197348,237030,43304,62630,53395,84596
"Jefe o Jefa (001)",192580,9638,117,45795,60013,11750,21383,11041,32843
"Esposa(o)/ compa¤era(o) (002)",114514,7877,126,27826,36248,6878,14662,4798,16099
"Hijo(a)/ hijastro(a) (003)",296957,26312,15146,80429,93222,15734,16584,25575,23955
"Yerno/ nuera (004)",16322,127,25,1719,6923,1492,2271,1201,2564
"Nieto(a) (005)",45028,8330,4652,16090,10724,1237,691,2443,861
"Padres/ suegros (006)",12131,3844,,5297,1680,124,401,135,650
"Otro(a) pariente (007)",62870,4712,1412,15327,20843,4457,4930,5499,5690
"Trabajador(a) del hogar (008)",3191,229,25,1333,1246,174,99,56,29
"Pensionista (009)",2586,28,2,193,744,241,177,886,315
"Otro(a) no pariente (010)",15812,875,211,3339,5387,1217,1432,1761,1590
"Hombres (012)",365559,24166,11140,92901,121413,20744,26142,27773,41280
"Jefe o Jefa (013)",131059,3208,81,29519,43868,8292,13932,8109,24050
"Esposa(o)/ compa¤era(o) (014)",8758,267,21,1922,3377,533,836,663,1139
"Hijo(a)/ hijastro(a) (015)",150697,13574,7782,41713,50056,7611,6849,12838,10274
"Yerno/ nuera (016)",8272,43,14,770,3322,696,1168,667,1592
"Nieto(a) (017)",23265,4225,2440,8200,5791,641,332,1217,419
"Padres/ suegros (018)",3365,601,,1778,514,49,109,86,228
"Otro(a) pariente (019)",30978,1883,693,7315,11211,2217,2180,2814,2665
"Trabajador(a) del hogar (020)",141,6,4,40,68,11,2,7,3
"Pensionista (021)",1482,15,1,118,446,135,105,481,181
"Otro(a) no pariente (022)",7542,344,104,1526,2760,559,629,891,729
"Mujeres (024)",396432,37806,10576,104447,115617,22560,36488,25622,43316
"Jefe o Jefa (025)",61521,6430,36,16276,16145,3458,7451,2932,8793
"Esposa(o)/ compa¤era(o) (026)",105756,7610,105,25904,32871,6345,13826,4135,14960
"Hijo(a)/ hijastro(a) (027)",146260,12738,7364,38716,43166,8123,9735,12737,13681
"Yerno/ nuera (028)",8050,84,11,949,3601,796,1103,534,972
"Nieto(a) (029)",21763,4105,2212,7890,4933,596,359,1226,442
"Padres/ suegros (030)",8766,3243,,3519,1166,75,292,49,422
"Otro(a) pariente (031)",31892,2829,719,8012,9632,2240,2750,2685,3025
"Trabajador(a) del hogar (032)",3050,223,21,1293,1178,163,97,49,26
"Pensionista (033)",1104,13,1,75,298,106,72,405,134
"Otro(a) no pariente (034)",8270,531,107,1813,2627,658,803,870,861
,,,,,,,,,
"URBANA (036)",743701,59335,21204,189410,231604,42796,62029,53106,84217
"Jefe o Jefa (037)",187883,9047,115,43588,58624,11617,21219,10991,32682
"Esposa(o)/ compa¤era(o) (038)",111257,7274,124,26376,35330,6815,14535,4777,16026
"Hijo(a)/ hijastro(a) (039)",289268,25382,14758,77258,90788,15479,16343,25393,23867
"Yerno/ nuera (040)",15974,116,25,1620,6750,1470,2246,1194,2553
