"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHUPACA (000)",23159,3120,6499,5936,7604
"Asiste actualmente (001)",16443,1271,6215,5531,3426
"No asiste (002)",6716,1849,284,405,4178
"Hombres (004)",11783,1585,3299,3007,3892
"Asiste actualmente (005)",8401,660,3140,2831,1770
"No asiste (006)",3382,925,159,176,2122
"Mujeres (008)",11376,1535,3200,2929,3712
"Asiste actualmente (009)",8042,611,3075,2700,1656
"No asiste (010)",3334,924,125,229,2056
,,,,,
"URBANA (012)",13695,1756,3746,3462,4731
"Asiste actualmente (013)",9942,756,3630,3262,2294
"No asiste (014)",3753,1000,116,200,2437
"Hombres (016)",6992,895,1949,1761,2387
"Asiste actualmente (017)",5104,401,1885,1675,1143
"No asiste (018)",1888,494,64,86,1244
"Mujeres (020)",6703,861,1797,1701,2344
"Asiste actualmente (021)",4838,355,1745,1587,1151
"No asiste (022)",1865,506,52,114,1193
,,,,,
"RURAL (024)",9464,1364,2753,2474,2873
"Asiste actualmente (025)",6501,515,2585,2269,1132
"No asiste (026)",2963,849,168,205,1741
"Hombres (028)",4791,690,1350,1246,1505
"Asiste actualmente (029)",3297,259,1255,1156,627
"No asiste (030)",1494,431,95,90,878
"Mujeres (032)",4673,674,1403,1228,1368
"Asiste actualmente (033)",3204,256,1330,1113,505
"No asiste (034)",1469,418,73,115,863
