"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHOTA (000)",61443,58289,18084,8062,7396,5564,7448,5031,3628,3076,3154,170040
"De 12 a 14 años (001)",6149,6105,6084,18,3,,,,,,44,24
"De 15 a 19 años (002)",7989,7751,6762,847,119,16,7,,,,238,1161
"De 20 a 24 años (003)",6628,5783,2213,2203,1054,246,58,9,,,845,5350
"De 25 a 29 años (004)",6166,5445,825,1750,1571,811,444,36,8,,721,9494
"De 30 a 34 años (005)",5604,5203,482,1029,1475,1047,926,202,36,6,401,12750
"De 35 a 39 años (006)",5619,5342,337,664,1157,1159,1331,534,134,26,277,17101
"De 40 a 44 años (007)",4526,4351,312,401,659,729,1169,652,318,111,175,17127
"De 45 a 49 años (008)",3965,3825,231,309,443,570,929,685,424,234,140,17614
"De 50 y más años (009)",14797,14484,838,841,915,986,2584,2913,2708,2699,313,89419
"PEA (010)",10012,9204,2243,1729,1576,1143,1225,645,374,269,808,23905
"De 12 a 14 años (011)",175,175,173,1,1,,,,,,,3
"De 15 a 19 años (012)",886,854,734,103,12,5,,,,,32,142
"De 20 a 24 años (013)",1250,1039,520,356,123,26,11,3,,,211,747
"De 25 a 29 años (014)",1365,1125,285,381,286,115,54,4,,,240,1555
"De 30 a 34 años (015)",1252,1122,167,302,307,186,124,30,5,1,130,2237
"De 35 a 39 años (016)",1268,1197,88,211,323,275,220,70,9,1,71,3168
"De 40 a 44 años (017)",1037,988,71,123,210,199,238,96,40,11,49,3231
"De 45 a 49 años (018)",849,816,68,93,134,156,196,94,46,29,33,3002
"De 50 y más años (019)",1930,1888,137,159,180,181,382,348,274,227,42,9820
"Ocupada (020)",9622,8879,2057,1679,1532,1122,1210,640,372,267,743,23571
