"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MOHO (000)",11750,1595,3782,3462,2911
"Asiste actualmente (001)",8009,495,3471,3124,919
"No asiste (002)",3741,1100,311,338,1992
"Hombres (004)",6072,840,1903,1848,1481
"Asiste actualmente (005)",4323,272,1756,1713,582
"No asiste (006)",1749,568,147,135,899
"Mujeres (008)",5678,755,1879,1614,1430
"Asiste actualmente (009)",3686,223,1715,1411,337
"No asiste (010)",1992,532,164,203,1093
,,,,,
"URBANA (012)",3661,484,1134,1087,956
"Asiste actualmente (013)",2496,164,995,976,361
"No asiste (014)",1165,320,139,111,595
"Hombres (016)",1908,246,557,599,506
"Asiste actualmente (017)",1340,86,486,541,227
"No asiste (018)",568,160,71,58,279
"Mujeres (020)",1753,238,577,488,450
"Asiste actualmente (021)",1156,78,509,435,134
"No asiste (022)",597,160,68,53,316
,,,,,
"RURAL (024)",8089,1111,2648,2375,1955
"Asiste actualmente (025)",5513,331,2476,2148,558
"No asiste (026)",2576,780,172,227,1397
"Hombres (028)",4164,594,1346,1249,975
"Asiste actualmente (029)",2983,186,1270,1172,355
"No asiste (030)",1181,408,76,77,620
"Mujeres (032)",3925,517,1302,1126,980
"Asiste actualmente (033)",2530,145,1206,976,203
"No asiste (034)",1395,372,96,150,777
