"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",22423,2804,6078,6115,7426
"Asiste actualmente (001)",16459,1489,5726,5683,3561
"No asiste (002)",5964,1315,352,432,3865
"Hombres (004)",11445,1483,3097,3183,3682
"Asiste actualmente (005)",8496,770,2916,2982,1828
"No asiste (006)",2949,713,181,201,1854
"Mujeres (008)",10978,1321,2981,2932,3744
"Asiste actualmente (009)",7963,719,2810,2701,1733
"No asiste (010)",3015,602,171,231,2011
,,,,,
"URBANA (012)",12672,1481,3234,3606,4351
"Asiste actualmente (013)",9600,946,3076,3372,2206
"No asiste (014)",3072,535,158,234,2145
"Hombres (016)",6403,779,1620,1855,2149
"Asiste actualmente (017)",4860,493,1536,1738,1093
"No asiste (018)",1543,286,84,117,1056
"Mujeres (020)",6269,702,1614,1751,2202
"Asiste actualmente (021)",4740,453,1540,1634,1113
"No asiste (022)",1529,249,74,117,1089
,,,,,
"RURAL (024)",9751,1323,2844,2509,3075
"Asiste actualmente (025)",6859,543,2650,2311,1355
"No asiste (026)",2892,780,194,198,1720
"Hombres (028)",5042,704,1477,1328,1533
"Asiste actualmente (029)",3636,277,1380,1244,735
"No asiste (030)",1406,427,97,84,798
"Mujeres (032)",4709,619,1367,1181,1542
"Asiste actualmente (033)",3223,266,1270,1067,620
"No asiste (034)",1486,353,97,114,922
