"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CARHUAZ (000)",11012,8361,2651
"Red pública dentro de la vivienda (001)",7455,6264,1191
"Red pública fuera de la vivienda (002)",1300,1017,283
"Pilón de uso público (003)",105,61,44
"Pozo (005)",218,62,156
"Río, acequia, manatial o similar (006)",1414,729,685
"Vecino (007)",459,200,259
"Otro (008)",61,28,33
,,,
"URBANA (010)",3825,3243,582
"Red pública dentro de la vivienda (011)",3189,2843,346
"Red pública fuera de la vivienda (012)",318,244,74
"Pilón de uso público (013)",17,13,4
"Pozo (015)",25,11,14
"Río, acequia, manatial o similar (016)",105,57,48
"Vecino (017)",144,61,83
"Otro (018)",27,14,13
,,,
"RURAL (020)",7187,5118,2069
"Red pública dentro de la vivienda (021)",4266,3421,845
"Red pública fuera de la vivienda (022)",982,773,209
"Pilón de uso público (023)",88,48,40
"Pozo (025)",193,51,142
"Río, acequia, manatial o similar (026)",1309,672,637
"Vecino (027)",315,139,176
"Otro (028)",34,14,20
