"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia GENERAL SANCHEZ CERRO",,,,,,,
"Hogares (001)",7847,329,178,66,179,230,7000
"Ocupantes presentes (002)",24250,1033,513,238,620,784,21512
"Casa independiente",,,,,,,
"Hogares (004)",7386,322,173,65,174,225,6562
"Ocupantes presentes (005)",23199,1013,502,235,611,778,20510
"Departamento en edificio",,,,,,,
"Hogares (007)",3,,,,,,3
"Ocupantes presentes (008)",5,,,,,,5
"Vivienda en quinta",,,,,,,
"Hogares (010)",6,,,,,,6
"Ocupantes presentes (011)",7,,,,,,7
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",126,3,1,,1,,121
"Ocupantes presentes (014)",332,12,2,,4,,314
"Choza o cabaña",,,,,,,
"Hogares (016)",308,4,3,1,3,5,292
"Ocupantes presentes (017)",675,8,8,3,3,6,647
"Vivienda improvisada",,,,,,,
"Hogares (019)",2,,1,,,,1
"Ocupantes presentes (020)",4,,1,,,,3
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",10,,,,1,,9
"Ocupantes presentes (023)",17,,,,2,,15
"Otro tipo",,,,,,,
"Hogares (025)",6,,,,,,6
"Ocupantes presentes (026)",11,,,,,,11
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",3358,186,85,31,90,100,2936
"Ocupantes presentes (029)",10714,654,260,123,313,342,9286
"Casa independiente",,,,,,,
"Hogares (031)",3211,183,83,31,88,100,2796
"Ocupantes presentes (032)",10349,642,257,123,307,342,8942
"Departamento en edificio",,,,,,,
"Hogares (034)",3,,,,,,3
"Ocupantes presentes (035)",5,,,,,,5
"Vivienda en quinta",,,,,,,
"Hogares (037)",6,,,,,,6
"Ocupantes presentes (038)",7,,,,,,7
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",126,3,1,,1,,121
"Ocupantes presentes (041)",332,12,2,,4,,314
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",2,,1,,,,1
"Ocupantes presentes (047)",4,,1,,,,3
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",6,,,,1,,5
"Ocupantes presentes (050)",8,,,,2,,6
"Otro tipo",,,,,,,
"Hogares (052)",4,,,,,,4
"Ocupantes presentes (053)",9,,,,,,9
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",4489,143,93,35,89,130,4064
"Ocupantes presentes (056)",13536,379,253,115,307,442,12226
"Casa independiente",,,,,,,
"Hogares (058)",4175,139,90,34,86,125,3766
"Ocupantes presentes (059)",12850,371,245,112,304,436,11568
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",308,4,3,1,3,5,292
"Ocupantes presentes (071)",675,8,8,3,3,6,647
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",4,,,,,,4
"Ocupantes presentes (077)",9,,,,,,9
"Otro tipo",,,,,,,
"Hogares (079)",2,,,,,,2
"Ocupantes presentes (080)",2,,,,,,2
