"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUAROCHIRI (000)",48202,47051,1151
"Hombres (001)",25926,25447,479
"Mujeres (002)",22276,21604,672
"De 18 a 29 años (003)",15559,15034,525
"Hombres (004)",8489,8221,268
"Mujeres (005)",7070,6813,257
"De 30 a 44 años (006)",15457,15330,127
"Hombres (007)",8484,8422,62
"Mujeres (008)",6973,6908,65
"De 45 a 64 años (009)",11459,11300,159
"Hombres (010)",6038,5975,63
"Mujeres (011)",5421,5325,96
"De 65 y más años (012)",5727,5387,340
"Hombres (013)",2915,2829,86
"Mujeres (014)",2812,2558,254
,,,
"URBANA (015)",32382,31719,663
"Hombres (016)",16575,16308,267
"Mujeres (017)",15807,15411,396
"De 18 a 29 años (018)",10199,9881,318
"Hombres (019)",5277,5119,158
"Mujeres (020)",4922,4762,160
"De 30 a 44 años (021)",10364,10294,70
"Hombres (022)",5365,5334,31
"Mujeres (023)",4999,4960,39
"De 45 a 64 años (024)",7856,7772,84
"Hombres (025)",3937,3906,31
"Mujeres (026)",3919,3866,53
"De 65 y más años (027)",3963,3772,191
"Hombres (028)",1996,1949,47
"Mujeres (029)",1967,1823,144
,,,
"RURAL (030)",15820,15332,488
"Hombres (031)",9351,9139,212
"Mujeres (032)",6469,6193,276
"De 18 a 29 años (033)",5360,5153,207
"Hombres (034)",3212,3102,110
"Mujeres (035)",2148,2051,97
"De 30 a 44 años (036)",5093,5036,57
"Hombres (037)",3119,3088,31
"Mujeres (038)",1974,1948,26
"De 45 a 64 años (039)",3603,3528,75
"Hombres (040)",2101,2069,32
"Mujeres (041)",1502,1459,43
"De 65 y más años (042)",1764,1615,149
"Hombres (043)",919,880,39
"Mujeres (044)",845,735,110
