"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia DANIEL ALCIDES CARRION (000)",29356,28526,830
"Hombres (001)",14492,14228,264
"Mujeres (002)",14864,14298,566
"De 18 a 29 años (003)",10131,9945,186
"Hombres (004)",4964,4877,87
"Mujeres (005)",5167,5068,99
"De 30 a 44 años (006)",8786,8710,76
"Hombres (007)",4400,4370,30
"Mujeres (008)",4386,4340,46
"De 45 a 64 años (009)",6976,6815,161
"Hombres (010)",3427,3375,52
"Mujeres (011)",3549,3440,109
"De 65 y más años (012)",3463,3056,407
"Hombres (013)",1701,1606,95
"Mujeres (014)",1762,1450,312
,,,
"URBANA (015)",17794,17348,446
"Hombres (016)",8694,8556,138
"Mujeres (017)",9100,8792,308
"De 18 a 29 años (018)",5977,5899,78
"Hombres (019)",2923,2884,39
"Mujeres (020)",3054,3015,39
"De 30 a 44 años (021)",5277,5227,50
"Hombres (022)",2620,2602,18
"Mujeres (023)",2657,2625,32
"De 45 a 64 años (024)",4306,4222,84
"Hombres (025)",2059,2032,27
"Mujeres (026)",2247,2190,57
"De 65 y más años (027)",2234,2000,234
"Hombres (028)",1092,1038,54
"Mujeres (029)",1142,962,180
,,,
"RURAL (030)",11562,11178,384
"Hombres (031)",5798,5672,126
"Mujeres (032)",5764,5506,258
"De 18 a 29 años (033)",4154,4046,108
"Hombres (034)",2041,1993,48
"Mujeres (035)",2113,2053,60
"De 30 a 44 años (036)",3509,3483,26
"Hombres (037)",1780,1768,12
"Mujeres (038)",1729,1715,14
"De 45 a 64 años (039)",2670,2593,77
"Hombres (040)",1368,1343,25
"Mujeres (041)",1302,1250,52
"De 65 y más años (042)",1229,1056,173
"Hombres (043)",609,568,41
"Mujeres (044)",620,488,132
