"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTA (000)",51303,9298,1437,21236,15630,1258,944,789,711
"Jefe o Jefa (001)",13897,2755,6,5643,4325,317,303,195,353
"Esposa(o)/ compa¤era(o) (002)",9353,2474,11,4090,2272,137,164,80,125
"Hijo(a)/ hijastro(a) (003)",22532,2660,1201,9510,7523,661,355,447,175
"Yerno/ nuera (004)",552,19,1,109,313,44,40,12,14
"Nieto(a) (005)",1566,378,148,713,279,24,9,12,3
"Padres/ suegros (006)",745,586,,122,25,4,4,1,3
"Otro(a) pariente (007)",1966,340,63,776,643,51,46,27,20
"Trabajador(a) del hogar (008)",78,9,,24,42,2,1,,
"Pensionista (009)",6,1,,,3,1,,,1
"Otro(a) no pariente (010)",608,76,7,249,205,17,22,15,17
"Hombres (012)",25750,3196,763,10730,8982,682,500,462,435
"Jefe o Jefa (013)",10384,1253,3,4530,3649,255,230,163,301
"Esposa(o)/ compa¤era(o) (014)",570,54,1,191,259,22,19,14,10
"Hijo(a)/ hijastro(a) (015)",11951,1379,647,4890,4197,328,180,242,88
"Yerno/ nuera (016)",282,9,,51,160,20,23,10,9
"Nieto(a) (017)",852,204,71,393,160,14,4,5,1
"Padres/ suegros (018)",213,108,,82,19,2,1,,1
"Otro(a) pariente (019)",1068,149,35,421,382,26,26,16,13
"Trabajador(a) del hogar (020)",29,3,,8,16,2,,,
"Pensionista (021)",5,,,,3,1,,,1
"Otro(a) no pariente (022)",396,37,6,164,137,12,17,12,11
"Mujeres (024)",25553,6102,674,10506,6648,576,444,327,276
"Jefe o Jefa (025)",3513,1502,3,1113,676,62,73,32,52
"Esposa(o)/ compa¤era(o) (026)",8783,2420,10,3899,2013,115,145,66,115
"Hijo(a)/ hijastro(a) (027)",10581,1281,554,4620,3326,333,175,205,87
"Yerno/ nuera (028)",270,10,1,58,153,24,17,2,5
"Nieto(a) (029)",714,174,77,320,119,10,5,7,2
"Padres/ suegros (030)",532,478,,40,6,2,3,1,2
"Otro(a) pariente (031)",898,191,28,355,261,25,20,11,7
"Trabajador(a) del hogar (032)",49,6,,16,26,,1,,
"Pensionista (033)",1,1,,,,,,,
"Otro(a) no pariente (034)",212,39,1,85,68,5,5,3,6
,,,,,,,,,
"URBANA (036)",17848,2459,502,6446,6039,728,632,534,508
"Jefe o Jefa (037)",4939,664,5,1668,1784,222,209,133,254
"Esposa(o)/ compa¤era(o) (038)",3012,483,4,1137,1045,88,111,56,88
"Hijo(a)/ hijastro(a) (039)",7511,813,413,2816,2497,329,223,296,124
"Yerno/ nuera (040)",221,4,,25,113,29,29,11,10
"Nieto(a) (041)",622,149,44,273,129,12,5,9,1
"Padres/ suegros (042)",259,181,,56,14,3,3,,2
"Otro(a) pariente (043)",894,122,32,330,310,32,33,21,14
"Trabajador(a) del hogar (044)",51,7,,17,25,1,1,,
"Pensionista (045)",4,1,,,2,,,,1
"Otro(a) no pariente (046)",335,35,4,124,120,12,18,8,14
