"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",4113,16623,3062,12960,1051,3663
"Casa independiente (001)",3996,16246,3020,12833,976,3413
"Departamento en edificio (002)",6,15,6,15,,
"Vivienda en quinta (003)",15,46,15,46,,
"Vivienda en casa de vecindad (004)",6,25,6,25,,
"Choza o cabaña (005)",74,246,,,74,246
"Vivienda improvisada (006)",1,1,1,1,,
"Local no dest.para hab. humana (007)",6,21,5,17,1,4
"Otro tipo (008)",9,23,9,23,,
