"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia LUCANAS",,,,,
"Viviendas particulares (001)",1036,290,141,302,303
"Ocupantes presentes (002)",3879,959,517,1216,1187
"Casa independiente",,,,,
"Viviendas particulares (004)",1000,280,129,295,296
"Ocupantes presentes (005)",3780,932,486,1197,1165
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",7,2,1,3,1
"Ocupantes presentes (011)",17,4,4,8,1
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",4,,1,1,2
"Ocupantes presentes (014)",5,,1,2,2
"Choza o cabaña",,,,,
"Viviendas particulares (016)",21,5,10,2,4
"Ocupantes presentes (017)",63,14,26,4,19
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",4,3,,1,
"Ocupantes presentes (023)",14,9,,5,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",839,217,110,261,251
"Ocupantes presentes (029)",3268,760,421,1075,1012
"Casa independiente",,,,,
"Viviendas particulares (031)",826,214,108,256,248
"Ocupantes presentes (032)",3240,755,416,1060,1009
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",7,2,1,3,1
"Ocupantes presentes (038)",17,4,4,8,1
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",4,,1,1,2
"Ocupantes presentes (041)",5,,1,2,2
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",2,1,,1,
"Ocupantes presentes (050)",6,1,,5,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",197,73,31,41,52
"Ocupantes presentes (056)",611,199,96,141,175
"Casa independiente",,,,,
"Viviendas particulares (058)",174,66,21,39,48
"Ocupantes presentes (059)",540,177,70,137,156
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",21,5,10,2,4
"Ocupantes presentes (071)",63,14,26,4,19
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (076)",2,2,,,
"Ocupantes presentes (077)",8,8,,,
"Otro tipo",,,,,
