"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia QUISPICANCHI (000)",882,23,457,229,140,33
"Sin nivel (001)",63,3,11,17,18,14
"Primaria (003)",357,12,148,99,83,15
"Secundaria (004)",354,8,230,78,35,3
"Superior no univ. incompleta (005)",27,,19,7,,1
"Superior no univ. completa (006)",38,,25,13,,
"Superior univ. incompleta (007)",19,,15,2,2,
"Superior univ. completa (008)",24,,9,13,2,
"Hombres (010)",678,18,325,186,122,27
"Sin nivel (011)",37,2,5,12,10,8
"Primaria (013)",279,9,99,81,75,15
"Secundaria (014)",300,7,184,72,34,3
"Superior no univ. incompleta (015)",20,,13,6,,1
"Superior no univ. completa (016)",21,,12,9,,
"Superior univ. incompleta (017)",8,,6,1,1,
"Superior univ. completa (018)",13,,6,5,2,
"Mujeres (020)",204,5,132,43,18,6
"Sin nivel (021)",26,1,6,5,8,6
"Primaria (023)",78,3,49,18,8,
"Secundaria (024)",54,1,46,6,1,
"Superior no univ. incompleta (025)",7,,6,1,,
"Superior no univ. completa (026)",17,,13,4,,
"Superior univ. incompleta (027)",11,,9,1,1,
"Superior univ. completa (028)",11,,3,8,,
,,,,,,
"Area Urbana (030)",385,7,192,112,54,20
"Sin nivel (031)",15,,1,2,5,7
"Primaria (033)",103,4,25,35,30,9
"Secundaria (034)",179,3,107,49,17,3
"Superior no univ. incompleta (035)",22,,17,4,,1
"Superior no univ. completa (036)",31,,22,9,,
"Superior univ. incompleta (037)",15,,13,1,1,
"Superior univ. completa (038)",20,,7,12,1,
"Hombres (040)",274,6,123,82,47,16
"Sin nivel (041)",5,,,,2,3
"Primaria (043)",79,4,15,24,27,9
"Secundaria (044)",142,2,77,44,16,3
"Superior no univ. incompleta (045)",16,,12,3,,1
"Superior no univ. completa (046)",16,,10,6,,
"Superior univ. incompleta (047)",6,,5,,1,
"Superior univ. completa (048)",10,,4,5,1,
"Mujeres (050)",111,1,69,30,7,4
"Sin nivel (051)",10,,1,2,3,4
"Primaria (053)",24,,10,11,3,
"Secundaria (054)",37,1,30,5,1,
"Superior no univ. incompleta (055)",6,,5,1,,
"Superior no univ. completa (056)",15,,12,3,,
"Superior univ. incompleta (057)",9,,8,1,,
"Superior univ. completa (058)",10,,3,7,,
,,,,,,
"Area Rural (060)",497,16,265,117,86,13
"Sin nivel (061)",48,3,10,15,13,7
"Primaria (063)",254,8,123,64,53,6
"Secundaria (064)",175,5,123,29,18,
"Superior no univ. incompleta (065)",5,,2,3,,
"Superior no univ. completa (066)",7,,3,4,,
"Superior univ. incompleta (067)",4,,2,1,1,
"Superior univ. completa (068)",4,,2,1,1,
"Hombres (070)",404,12,202,104,75,11
"Sin nivel (071)",32,2,5,12,8,5
"Primaria (073)",200,5,84,57,48,6
"Secundaria (074)",158,5,107,28,18,
"Superior no univ. incompleta (075)",4,,1,3,,
"Superior no univ. completa (076)",5,,2,3,,
"Superior univ. incompleta (077)",2,,1,1,,
"Superior univ. completa (078)",3,,2,,1,
"Mujeres (080)",93,4,63,13,11,2
"Sin nivel (081)",16,1,5,3,5,2
"Primaria (083)",54,3,39,7,5,
"Secundaria (084)",17,,16,1,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",2,,1,1,,
"Superior univ. incompleta (087)",2,,1,,1,
"Superior univ. completa (088)",1,,,1,,
