"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia JULCAN",,,,,
"Viviendas particulares (001)",864,222,255,294,93
"Ocupantes presentes (002)",3316,803,1025,1137,351
"Casa independiente",,,,,
"Viviendas particulares (004)",862,222,255,292,93
"Ocupantes presentes (005)",3311,803,1025,1132,351
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",2,,,2,
"Ocupantes presentes (014)",5,,,5,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",446,94,139,192,21
"Ocupantes presentes (029)",1541,302,523,653,63
"Casa independiente",,,,,
"Viviendas particulares (031)",444,94,139,190,21
"Ocupantes presentes (032)",1536,302,523,648,63
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",2,,,2,
"Ocupantes presentes (041)",5,,,5,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",418,128,116,102,72
"Ocupantes presentes (056)",1775,501,502,484,288
"Casa independiente",,,,,
"Viviendas particulares (058)",418,128,116,102,72
"Ocupantes presentes (059)",1775,501,502,484,288
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
