"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAÑETE (000)",82659,2181,59,14963,37216,6813,10431,3888,7108
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",168,,,4,12,6,34,13,99
"Profes., científicos e intelectuales (002)",6193,,,1,123,314,1669,802,3284
"Técnicos de nivel medio ytrab.asimilados (003)",3362,3,,63,525,547,1399,302,523
"Jefes y empleados de oficina (004)",2901,,,18,680,407,966,341,489
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",12969,296,11,2159,6195,1305,1667,595,741
"Agricult.trabaj. calif.agrop. y pesquros (006)",7777,334,2,2622,3458,415,470,181,295
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",5509,45,5,673,2760,561,956,221,288
"Obreros. construc., conf., papel, fab., instr (008)",9610,77,3,1220,5924,787,834,394,371
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",32626,1393,38,7990,17012,2323,2086,945,839
"Otra (010)",507,,,,73,43,236,40,115
"Ocupación no especificada (011)",1037,33,,213,454,105,114,54,64
"Hombres (012)",53037,759,34,9074,26404,4305,5794,2530,4137
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",117,,,2,9,3,19,10,74
"Profes., científicos e intelectuales (014)",2823,,,,43,143,584,440,1613
"Técnicos de nivel medio ytrab.asimilados (015)",2138,1,,37,356,400,806,197,341
"Jefes y empleados de oficina (016)",1300,,,10,380,168,316,168,258
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",5410,45,3,643,2932,540,617,310,320
"Agricult.trabaj. calif.agrop. y pesquros (018)",6494,150,1,2157,3017,356,403,153,257
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",4818,31,4,562,2463,488,835,186,249
"Obreros. construc., conf., papel, fab., instr (020)",9420,70,3,1194,5833,768,806,384,362
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",19559,456,23,4378,11072,1350,1131,618,531
"Otra (022)",486,,,,71,41,226,40,108
"Ocupación no especificada (023)",472,6,,91,228,48,51,24,24
"Mujeres (024)",29622,1422,25,5889,10812,2508,4637,1358,2971
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",51,,,2,3,3,15,3,25
"Profes., científicos e intelectuales (026)",3370,,,1,80,171,1085,362,1671
"Técnicos de nivel medio ytrab.asimilados (027)",1224,2,,26,169,147,593,105,182
"Jefes y empleados de oficina (028)",1601,,,8,300,239,650,173,231
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",7559,251,8,1516,3263,765,1050,285,421
"Agricult.trabaj. calif.agrop. y pesquros (030)",1283,184,1,465,441,59,67,28,38
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",691,14,1,111,297,73,121,35,39
"Obreros. construc., conf., papel, fab., instr (032)",190,7,,26,91,19,28,10,9
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",13067,937,15,3612,5940,973,955,327,308
"Otra (034)",21,,,,2,2,10,,7
"Ocupación no especificada (035)",565,27,,122,226,57,63,30,40
,,,,,,,,,
"URBANA (036)",68954,1609,54,11477,30818,5936,9223,3460,6377
