"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAJABAMBA (000)",74287,1710,26608,18068,12632,9855,5414
"Hombres (001)",36644,879,13650,8928,6068,4611,2508
"Mujeres (002)",37643,831,12958,9140,6564,5244,2906
"Viviendas particulares (003)",74046,1709,26598,17979,12545,9809,5406
"Hombres (004)",36468,878,13645,8869,5998,4575,2503
"Mujeres (005)",37578,831,12953,9110,6547,5234,2903
"Viviendas colectivas (006)",150,1,9,68,45,19,8
"Hombres (007)",99,1,4,43,34,12,5
"Mujeres (008)",51,,5,25,11,7,3
"Otro tipo (009)",91,,1,21,42,27,
"Hombres (010)",77,,1,16,36,24,
"Mujeres (011)",14,,,5,6,3,
,,,,,,,
"URBANA (012)",18194,329,5621,4759,3522,2643,1320
"Hombres (013)",8629,166,2886,2251,1581,1182,563
"Mujeres (014)",9565,163,2735,2508,1941,1461,757
"Viviendas particulares (015)",17989,328,5615,4689,3444,2601,1312
"Hombres (016)",8477,165,2883,2203,1518,1150,558
"Mujeres (017)",9512,163,2732,2486,1926,1451,754
"Viviendas colectivas (018)",117,1,5,51,37,15,8
"Hombres (019)",78,1,2,34,28,8,5
"Mujeres (020)",39,,3,17,9,7,3
"Otro tipo (021)",88,,1,19,41,27,
"Hombres (022)",74,,1,14,35,24,
"Mujeres (023)",14,,,5,6,3,
,,,,,,,
"RURAL (024)",56093,1381,20987,13309,9110,7212,4094
"Hombres (025)",28015,713,10764,6677,4487,3429,1945
"Mujeres (026)",28078,668,10223,6632,4623,3783,2149
"Viviendas particulares (027)",56057,1381,20983,13290,9101,7208,4094
"Hombres (028)",27991,713,10762,6666,4480,3425,1945
"Mujeres (029)",28066,668,10221,6624,4621,3783,2149
"Viviendas colectivas (030)",33,,4,17,8,4,
"Hombres (031)",21,,2,9,6,4,
"Mujeres (032)",12,,2,8,2,,
"Otro tipo (033)",3,,,2,1,,
"Hombres (034)",3,,,2,1,,
