"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia ABANCAY",,,,,
"Viviendas particulares (001)",627,175,53,127,272
"Ocupantes presentes (002)",2433,620,201,487,1125
"Casa independiente",,,,,
"Viviendas particulares (004)",555,151,53,118,233
"Ocupantes presentes (005)",2190,553,201,452,984
"Departamento en edificio",,,,,
"Viviendas particulares (007)",11,1,,3,7
"Ocupantes presentes (008)",41,5,,13,23
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",11,10,,,1
"Ocupantes presentes (011)",21,15,,,6
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",49,13,,6,30
"Ocupantes presentes (014)",180,47,,22,111
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,,,,1
"Ocupantes presentes (023)",1,,,,1
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",534,127,48,114,245
"Ocupantes presentes (029)",2101,461,186,433,1021
"Casa independiente",,,,,
"Viviendas particulares (031)",462,103,48,105,206
"Ocupantes presentes (032)",1858,394,186,398,880
"Departamento en edificio",,,,,
"Viviendas particulares (034)",11,1,,3,7
"Ocupantes presentes (035)",41,5,,13,23
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",11,10,,,1
"Ocupantes presentes (038)",21,15,,,6
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",49,13,,6,30
"Ocupantes presentes (041)",180,47,,22,111
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,,,,1
"Ocupantes presentes (050)",1,,,,1
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",93,48,5,13,27
"Ocupantes presentes (056)",332,159,15,54,104
"Casa independiente",,,,,
"Viviendas particulares (058)",93,48,5,13,27
"Ocupantes presentes (059)",332,159,15,54,104
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
