"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",28885,14863,461,433,12396,232,10,24,1,465
"Hombres (001)",11182,7634,339,262,2553,110,2,13,1,268
"Mujeres (002)",17703,7229,122,171,9843,122,8,11,,197
"De 06 a 14 años (003)",9520,9066,,,271,88,,2,,93
"Hombres (004)",4924,4709,,,125,42,,1,,47
"Mujeres (005)",4596,4357,,,146,46,,1,,46
"De 15 a 29 años (006)",9325,5553,5,82,3505,,2,7,1,170
"Hombres (007)",3747,2807,1,48,798,,1,5,1,86
"Mujeres (008)",5578,2746,4,34,2707,,1,2,,84
"De 30 a 44 años (009)",4115,189,23,135,3686,,6,2,,74
"Hombres (010)",906,94,15,77,672,,1,,,47
"Mujeres (011)",3209,95,8,58,3014,,5,2,,27
"De 45 a 64 años (012)",3631,48,196,130,3198,3,,5,,51
"Hombres (013)",848,19,142,84,562,3,,2,,36
"Mujeres (014)",2783,29,54,46,2636,,,3,,15
"De 65 y más años (015)",2294,7,237,86,1736,141,2,8,,77
"Hombres (016)",757,5,181,53,396,65,,5,,52
"Mujeres (017)",1537,2,56,33,1340,76,2,3,,25
,,,,,,,,,,
"AREA URBANA (018)",16665,8449,368,260,7106,137,10,12,1,322
"Hombres (019)",6365,4241,265,138,1449,65,2,4,1,200
"Mujeres (020)",10300,4208,103,122,5657,72,8,8,,122
"De 06 a 14 años (021)",5182,4898,,,182,49,,,,53
"Hombres (022)",2624,2493,,,79,24,,,,28
"Mujeres (023)",2558,2405,,,103,25,,,,25
"De 15 a 29 años (024)",5447,3402,5,52,1869,,2,4,1,112
"Hombres (025)",2217,1672,1,29,450,,1,2,1,61
"Mujeres (026)",3230,1730,4,23,1419,,1,2,,51
"De 30 a 44 años (027)",2341,116,22,72,2067,,6,1,,57
"Hombres (028)",517,59,14,36,368,,1,,,39
"Mujeres (029)",1824,57,8,36,1699,,5,1,,18
"De 45 a 64 años (030)",2199,29,158,74,1894,2,,3,,39
"Hombres (031)",496,14,111,39,302,2,,,,28
"Mujeres (032)",1703,15,47,35,1592,,,3,,11
"De 65 y más años (033)",1496,4,183,62,1094,86,2,4,,61
"Hombres (034)",511,3,139,34,250,39,,2,,44
"Mujeres (035)",985,1,44,28,844,47,2,2,,17
,,,,,,,,,,
"AREA RURAL (036)",12220,6414,93,173,5290,95,,12,,143
"Hombres (037)",4817,3393,74,124,1104,45,,9,,68
"Mujeres (038)",7403,3021,19,49,4186,50,,3,,75
"De 06 a 14 años (039)",4338,4168,,,89,39,,2,,40
"Hombres (040)",2300,2216,,,46,18,,1,,19
"Mujeres (041)",2038,1952,,,43,21,,1,,21
"De 15 a 29 años (042)",3878,2151,,30,1636,,,3,,58
"Hombres (043)",1530,1135,,19,348,,,3,,25
"Mujeres (044)",2348,1016,,11,1288,,,,,33
"De 30 a 44 años (045)",1774,73,1,63,1619,,,1,,17
"Hombres (046)",389,35,1,41,304,,,,,8
"Mujeres (047)",1385,38,,22,1315,,,1,,9
"De 45 a 64 años (048)",1432,19,38,56,1304,1,,2,,12
"Hombres (049)",352,5,31,45,260,1,,2,,8
"Mujeres (050)",1080,14,7,11,1044,,,,,4
"De 65 y más años (051)",798,3,54,24,642,55,,4,,16
"Hombres (052)",246,2,42,19,146,26,,3,,8
"Mujeres (053)",552,1,12,5,496,29,,1,,8
