"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia MORROPON",,,,
"Viviendas particulares (001)",24941,20028,3046,1867
"Ocupantes presentes (002)",104232,84097,12205,7930
"Casa independiente",,,,
"Viviendas particulares (004)",24804,19933,3039,1832
"Ocupantes presentes (005)",103776,83781,12182,7813
"Departamento en edificio",,,,
"Viviendas particulares (007)",24,24,,
"Ocupantes presentes (008)",94,94,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",33,31,2,
"Ocupantes presentes (011)",90,82,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",36,29,1,6
"Ocupantes presentes (014)",111,96,4,11
"Choza o cabaña",,,,
"Viviendas particulares (016)",27,,,27
"Ocupantes presentes (017)",104,,,104
"Vivienda improvisada",,,,
"Viviendas particulares (019)",9,5,4,
"Ocupantes presentes (020)",35,24,11,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",8,6,,2
"Ocupantes presentes (023)",22,20,,2
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",19935,16126,2317,1492
"Ocupantes presentes (029)",83919,68135,9391,6393
"Casa independiente",,,,
"Viviendas particulares (031)",19809,16041,2310,1458
"Ocupantes presentes (032)",83492,67847,9368,6277
"Departamento en edificio",,,,
"Viviendas particulares (034)",24,24,,
"Ocupantes presentes (035)",94,94,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",28,26,2,
"Ocupantes presentes (038)",78,70,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",31,24,1,6
"Ocupantes presentes (041)",95,80,4,11
"Choza o cabaña",,,,
"Viviendas particulares (043)",27,,,27
"Ocupantes presentes (044)",104,,,104
"Vivienda improvisada",,,,
"Viviendas particulares (046)",9,5,4,
"Ocupantes presentes (047)",35,24,11,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",7,6,,1
"Ocupantes presentes (050)",21,20,,1
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",5006,3902,729,375
"Ocupantes presentes (056)",20313,15962,2814,1537
"Casa independiente",,,,
"Viviendas particulares (058)",4995,3892,729,374
"Ocupantes presentes (059)",20284,15934,2814,1536
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",5,5,,
"Ocupantes presentes (065)",12,12,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",5,5,,
"Ocupantes presentes (068)",16,16,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",1,,,1
"Ocupantes presentes (077)",1,,,1
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",17209,15679,1113,417
"Ocupantes presentes (110)",72435,66368,4457,1610
"Casa independiente",,,,
"Viviendas particulares (112)",17101,15585,1106,410
"Ocupantes presentes (113)",72085,66053,4434,1598
"Departamento en edificio",,,,
"Viviendas particulares (115)",24,24,,
"Ocupantes presentes (116)",94,94,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",33,31,2,
"Ocupantes presentes (119)",90,82,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",36,29,1,6
"Ocupantes presentes (122)",111,96,4,11
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",9,5,4,
"Ocupantes presentes (128)",35,24,11,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",6,5,,1
"Ocupantes presentes (131)",20,19,,1
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",14079,13050,792,237
"Ocupantes presentes (137)",59856,55710,3192,954
"Casa independiente",,,,
"Viviendas particulares (139)",13981,12966,785,230
"Ocupantes presentes (140)",59534,55423,3169,942
"Departamento en edificio",,,,
"Viviendas particulares (142)",24,24,,
"Ocupantes presentes (143)",94,94,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",28,26,2,
"Ocupantes presentes (146)",78,70,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",31,24,1,6
"Ocupantes presentes (149)",95,80,4,11
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",9,5,4,
"Ocupantes presentes (155)",35,24,11,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",6,5,,1
"Ocupantes presentes (158)",20,19,,1
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",3130,2629,321,180
"Ocupantes presentes (164)",12579,10658,1265,656
"Casa independiente",,,,
"Viviendas particulares (166)",3120,2619,321,180
"Ocupantes presentes (167)",12551,10630,1265,656
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",5,5,,
"Ocupantes presentes (173)",12,12,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",5,5,,
"Ocupantes presentes (176)",16,16,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",7732,4349,1933,1450
"Ocupantes presentes (218)",31797,17729,7748,6320
"Casa independiente",,,,
"Viviendas particulares (220)",7703,4348,1933,1422
"Ocupantes presentes (221)",31691,17728,7748,6215
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",27,,,27
"Ocupantes presentes (233)",104,,,104
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,1,,1
"Ocupantes presentes (239)",2,1,,1
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",5856,3076,1525,1255
"Ocupantes presentes (245)",24063,12425,6199,5439
"Casa independiente",,,,
"Viviendas particulares (247)",5828,3075,1525,1228
"Ocupantes presentes (248)",23958,12424,6199,5335
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",27,,,27
"Ocupantes presentes (260)",104,,,104
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",1,1,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",1876,1273,408,195
"Ocupantes presentes (272)",7734,5304,1549,881
"Casa independiente",,,,
"Viviendas particulares (274)",1875,1273,408,194
"Ocupantes presentes (275)",7733,5304,1549,880
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (292)",1,,,1
"Ocupantes presentes (293)",1,,,1
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
