"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YAROWILCA (000)",7685,64,3375,2471,699,221,85,44,6,,720
"Sin Nivel (001)",2525,22,1047,839,283,104,24,27,4,,175
"Educación Inicial (002)",20,1,10,2,1,1,,,,,5
"Primaria (003)",3493,34,1702,1067,266,76,48,17,1,,282
"Secundaria (004)",1341,7,559,441,94,23,7,,1,,209
"Sup. no Univ. Incompleta (005)",57,,15,24,4,1,,,,,13
"Sup. no Univ. Completa (006)",94,,17,32,23,5,5,,,,12
"Sup. Univ. Incompleta (007)",44,,13,19,5,,,,,,7
"Sup. Univ. Completa (008)",111,,12,47,23,11,1,,,,17
,,,,,,,,,,,
"URBANA (010)",1898,21,699,620,187,64,35,14,2,,256
"Sin Nivel (011)",394,3,157,118,42,19,5,6,1,,43
"Educación Inicial (012)",2,,1,,,1,,,,,
"Primaria (013)",813,13,326,252,76,28,22,8,,,88
"Secundaria (014)",500,5,187,175,32,7,4,,1,,89
"Sup. no Univ. Incompleta (015)",28,,6,13,2,1,,,,,6
"Sup. no Univ. Completa (016)",57,,8,18,15,2,3,,,,11
"Sup. Univ. Incompleta (017)",26,,6,11,4,,,,,,5
"Sup. Univ. Completa (018)",78,,8,33,16,6,1,,,,14
,,,,,,,,,,,
"RURAL (020)",5787,43,2676,1851,512,157,50,30,4,,464
"Sin Nivel (021)",2131,19,890,721,241,85,19,21,3,,132
"Educación Inicial (022)",18,1,9,2,1,,,,,,5
"Primaria (023)",2680,21,1376,815,190,48,26,9,1,,194
"Secundaria (024)",841,2,372,266,62,16,3,,,,120
"Sup. no Univ. Incompleta (025)",29,,9,11,2,,,,,,7
"Sup. no Univ. Completa (026)",37,,9,14,8,3,2,,,,1
"Sup. Univ. Incompleta (027)",18,,7,8,1,,,,,,2
"Sup. Univ. Completa (028)",33,,4,14,7,5,,,,,3
