"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAROCHIRI (000)",96,86,10
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",22,22,
"Casa pensión (003)",3,3,
"Hospital, clinica (004)",5,4,1
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",56,48,8
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",9,8,1
