"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MORROPON (000)",150650,26919,4344,66744,39422,3739,4239,2128,3115
"Quechua (001)",171,35,4,67,45,8,8,1,3
"Aymara (002)",20,6,1,5,4,,1,1,2
"Ashaninca (003)",10,2,1,5,2,,,,
"Otra lengua nativa (004)",143,15,6,64,36,2,3,8,9
"Castellano (005)",150065,26702,4326,66570,39325,3728,4225,2115,3074
"Idioma extranjero (006)",32,,,,1,1,,3,27
"Es sordomudo/a (007)",209,159,6,33,9,,2,,
"Hombres (009)",76386,11771,2172,34294,21817,1816,1852,1121,1543
"Quechua (010)",90,20,1,32,24,6,5,1,1
"Aymara (011)",7,,,3,2,,,,2
"Ashaninca (012)",5,2,1,2,,,,,
"Otra lengua nativa (013)",80,8,5,41,12,,2,6,6
"Castellano (014)",76067,11648,2161,34197,21770,1810,1844,1113,1524
"Idioma extranjero (015)",12,,,,1,,,1,10
"Es sordomudo/a (016)",125,93,4,19,8,,1,,
"Mujeres (018)",74264,15148,2172,32450,17605,1923,2387,1007,1572
"Quechua (019)",81,15,3,35,21,2,3,,2
"Aymara (020)",13,6,1,2,2,,1,1,
"Ashaninca (021)",5,,,3,2,,,,
"Otra lengua nativa (022)",63,7,1,23,24,2,1,2,3
"Castellano (023)",73998,15054,2165,32373,17555,1918,2381,1002,1550
"Idioma extranjero (024)",20,,,,,1,,2,17
"Es sordomudo/a (025)",84,66,2,14,1,,1,,
,,,,,,,,,
"URBANA (027)",86905,12954,2387,34223,25910,3101,3631,1878,2821
"Quechua (028)",155,33,3,56,43,8,8,1,3
"Aymara (029)",11,2,,2,3,,1,1,2
"Ashaninca (030)",5,,,3,2,,,,
"Otra lengua nativa (031)",86,6,2,30,26,2,3,8,9
"Castellano (032)",86523,12844,2381,34115,25830,3090,3618,1865,2780
"Idioma extranjero (033)",32,,,,1,1,,3,27
"Es sordomudo/a (034)",93,69,1,17,5,,1,,
"Hombres (036)",43412,5823,1173,17035,14010,1468,1519,985,1399
"Quechua (037)",80,18,,26,23,6,5,1,1
"Aymara (038)",5,,,2,1,,,,2
"Ashaninca (039)",2,,,2,,,,,
"Otra lengua nativa (040)",48,2,2,22,8,,2,6,6
"Castellano (041)",43207,5763,1170,16971,13972,1462,1512,977,1380
"Idioma extranjero (042)",12,,,,1,,,1,10
"Es sordomudo/a (043)",58,40,1,12,5,,,,
"Mujeres (045)",43493,7131,1214,17188,11900,1633,2112,893,1422
"Quechua (046)",75,15,3,30,20,2,3,,2
"Aymara (047)",6,2,,,2,,1,1,
"Ashaninca (048)",3,,,1,2,,,,
"Otra lengua nativa (049)",38,4,,8,18,2,1,2,3
"Castellano (050)",43316,7081,1211,17144,11858,1628,2106,888,1400
"Idioma extranjero (051)",20,,,,,1,,2,17
"Es sordomudo/a (052)",35,29,,5,,,1,,
,,,,,,,,,
"RURAL (054)",63745,13965,1957,32521,13512,638,608,250,294
"Quechua (055)",16,2,1,11,2,,,,
"Aymara (056)",9,4,1,3,1,,,,
"Ashaninca (057)",5,2,1,2,,,,,
"Otra lengua nativa (058)",57,9,4,34,10,,,,
"Castellano (059)",63542,13858,1945,32455,13495,638,607,250,294
"Es sordomudo/a (061)",116,90,5,16,4,,1,,
"Hombres (063)",32974,5948,999,17259,7807,348,333,136,144
"Quechua (064)",10,2,1,6,1,,,,
"Aymara (065)",2,,,1,1,,,,
"Ashaninca (066)",3,2,1,,,,,,
"Otra lengua nativa (067)",32,6,3,19,4,,,,
"Castellano (068)",32860,5885,991,17226,7798,348,332,136,144
"Es sordomudo/a (070)",67,53,3,7,3,,1,,
"Mujeres (072)",30771,8017,958,15262,5705,290,275,114,150
"Quechua (073)",6,,,5,1,,,,
"Aymara (074)",7,4,1,2,,,,,
"Ashaninca (075)",2,,,2,,,,,
"Otra lengua nativa (076)",25,3,1,15,6,,,,
"Castellano (077)",30682,7973,954,15229,5697,290,275,114,150
"Es sordomudo/a (079)",49,37,2,9,1,,,,
