"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PATAZ (000)",22552,15501,1337,1121,4593
"Empleado (001)",3374,772,449,474,1679
"Obrero (002)",6260,2126,604,630,2900
"Trabajador independiente (003)",10313,10097,216,,
"Empleador o patrono (004)",247,207,19,10,11
"Trabajador familiar no remunerado (005)",1929,1870,49,7,3
"Trabajador del hogar (006)",429,429,,,
"De 06 a 14 años (008)",339,314,21,2,2
"Empleado (009)",7,6,1,,
"Obrero (010)",28,21,3,2,2
"Trabajador independiente (011)",77,70,7,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",194,184,10,,
"Trabajador del hogar (014)",32,32,,,
"De 15 a 29 años (016)",8085,5152,534,417,1982
"Empleado (017)",1169,292,129,139,609
"Obrero (018)",2977,1030,306,273,1368
"Trabajador independiente (019)",2496,2427,69,,
"Empleador o patrono (020)",78,61,9,3,5
"Trabajador familiar no remunerado (021)",1102,1079,21,2,
"Trabajador del hogar (022)",263,263,,,
"De 30 a 44 años (024)",8140,5065,502,518,2055
"Empleado (025)",1551,331,210,232,778
"Obrero (026)",2433,691,194,279,1269
"Trabajador independiente (027)",3657,3576,81,,
"Empleador o patrono (028)",96,80,7,4,5
"Trabajador familiar no remunerado (029)",319,303,10,3,3
"Trabajador del hogar (030)",84,84,,,
"De 45 a 64 años (032)",4534,3577,250,174,533
"Empleado (033)",613,126,109,101,277
"Obrero (034)",731,323,84,69,255
"Trabajador independiente (035)",2871,2824,47,,
"Empleador o patrono (036)",52,46,3,2,1
"Trabajador familiar no remunerado (037)",226,217,7,2,
"Trabajador del hogar (038)",41,41,,,
"De 65 y más años (040)",1454,1393,30,10,21
"Empleado (041)",34,17,,2,15
"Obrero (042)",91,61,17,7,6
"Trabajador independiente (043)",1212,1200,12,,
"Empleador o patrono (044)",20,19,,1,
"Trabajador familiar no remunerado (045)",88,87,1,,
"Trabajador del hogar (046)",9,9,,,
,,,,,
"URBANA (048)",7062,3929,675,582,1876
"Empleado (049)",1960,490,285,317,868
"Obrero (050)",2348,821,266,258,1003
"Trabajador independiente (051)",2137,2041,96,,
"Empleador o patrono (052)",106,87,12,4,3
"Trabajador familiar no remunerado (053)",279,258,16,3,2
"Trabajador del hogar (054)",232,232,,,
