"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ANDAHUAYLAS (000)",1335,1253,82
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",145,145,
"Casa pensión (003)",23,9,14
"Hospital, clinica (004)",135,121,14
"Cárcel, centro de readaptación social (005)",168,168,
"Asilo (006)",20,20,
"Aldea infantil, orfelinato, etc (007)",235,235,
"Otro (008)",460,426,34
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",149,129,20
