"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia VILCAS HUAMAN (000)",242,93,149
"Sin nivel (001)",25,6,19
"Educación inicial (002)",1,1,
"Primaria (003)",103,34,69
"Secundaria (004)",95,44,51
"Superior no univ. incompleta (005)",3,1,2
"Superior no univ. completa (006)",12,6,6
"Superior univ. incompleta (007)",1,,1
"Superior univ. completa (008)",2,1,1
"Hombres (010)",188,67,121
"Sin nivel (011)",20,2,18
"Educación inicial (012)",1,1,
"Primaria (013)",83,26,57
"Secundaria (014)",73,32,41
"Superior no univ. incompleta (015)",3,1,2
"Superior no univ. completa (016)",5,4,1
"Superior univ. incompleta (017)",1,,1
"Superior univ. completa (018)",2,1,1
"Mujeres (020)",54,26,28
"Sin nivel (021)",5,4,1
"Primaria (023)",20,8,12
"Secundaria (024)",22,12,10
"Superior no univ. completa (026)",7,2,5
,,,
"AREA URBANA (030)",78,29,49
"Sin nivel (031)",7,3,4
"Primaria (033)",26,9,17
"Secundaria (034)",31,11,20
"Superior no univ. incompleta (035)",1,1,
"Superior no univ. completa (036)",10,4,6
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",2,1,1
"Hombres (040)",47,19,28
"Sin nivel (041)",4,,4
"Primaria (043)",15,6,9
"Secundaria (044)",19,7,12
"Superior no univ. incompleta (045)",1,1,
"Superior no univ. completa (046)",5,4,1
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",2,1,1
"Mujeres (050)",31,10,21
"Sin nivel (051)",3,3,
"Primaria (053)",11,3,8
"Secundaria (054)",12,4,8
"Superior no univ. completa (056)",5,,5
,,,
"AREA RURAL (060)",164,64,100
"Sin nivel (061)",18,3,15
"Educación inicial (062)",1,1,
"Primaria (063)",77,25,52
"Secundaria (064)",64,33,31
"Superior no univ. incompleta (065)",2,,2
"Superior no univ. completa (066)",2,2,
"Hombres (070)",141,48,93
"Sin nivel (071)",16,2,14
"Educación inicial (072)",1,1,
"Primaria (073)",68,20,48
"Secundaria (074)",54,25,29
"Superior no univ. incompleta (075)",2,,2
"Mujeres (080)",23,16,7
"Sin nivel (081)",2,1,1
"Primaria (083)",9,5,4
"Secundaria (084)",10,8,2
"Superior no univ. completa (086)",2,2,
