"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia EL DORADO",,,,
"Viviendas particulares (001)",3719,2653,912,154
"Ocupantes presentes (002)",16975,12161,4090,724
"Casa independiente",,,,
"Viviendas particulares (004)",3621,2580,890,151
"Ocupantes presentes (005)",16662,11895,4050,717
"Departamento en edificio",,,,
"Viviendas particulares (007)",2,2,,
"Ocupantes presentes (008)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",64,53,11,
"Ocupantes presentes (011)",199,174,25,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",19,8,11,
"Ocupantes presentes (014)",44,29,15,
"Choza o cabaña",,,,
"Viviendas particulares (016)",3,,,3
"Ocupantes presentes (017)",7,,,7
"Vivienda improvisada",,,,
"Viviendas particulares (019)",4,4,,
"Ocupantes presentes (020)",21,21,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",6,6,,
"Ocupantes presentes (023)",33,33,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3504,2489,875,140
"Ocupantes presentes (029)",15910,11343,3915,652
"Casa independiente",,,,
"Viviendas particulares (031)",3407,2417,853,137
"Ocupantes presentes (032)",15602,11082,3875,645
"Departamento en edificio",,,,
"Viviendas particulares (034)",2,2,,
"Ocupantes presentes (035)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",64,53,11,
"Ocupantes presentes (038)",199,174,25,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",19,8,11,
"Ocupantes presentes (041)",44,29,15,
"Choza o cabaña",,,,
"Viviendas particulares (043)",3,,,3
"Ocupantes presentes (044)",7,,,7
"Vivienda improvisada",,,,
"Viviendas particulares (046)",3,3,,
"Ocupantes presentes (047)",16,16,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",6,6,,
"Ocupantes presentes (050)",33,33,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",215,164,37,14
"Ocupantes presentes (056)",1065,818,175,72
"Casa independiente",,,,
"Viviendas particulares (058)",214,163,37,14
"Ocupantes presentes (059)",1060,813,175,72
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",1,1,,
"Ocupantes presentes (074)",5,5,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2477,2065,392,20
"Ocupantes presentes (110)",11163,9433,1649,81
"Casa independiente",,,,
"Viviendas particulares (112)",2383,1993,370,20
"Ocupantes presentes (113)",10861,9171,1609,81
"Departamento en edificio",,,,
"Viviendas particulares (115)",2,2,,
"Ocupantes presentes (116)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",64,53,11,
"Ocupantes presentes (119)",199,174,25,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",19,8,11,
"Ocupantes presentes (122)",44,29,15,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",4,4,,
"Ocupantes presentes (128)",21,21,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",5,5,,
"Ocupantes presentes (131)",29,29,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2371,1969,382,20
"Ocupantes presentes (137)",10637,8952,1604,81
"Casa independiente",,,,
"Viviendas particulares (139)",2278,1898,360,20
"Ocupantes presentes (140)",10340,8695,1564,81
"Departamento en edificio",,,,
"Viviendas particulares (142)",2,2,,
"Ocupantes presentes (143)",9,9,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",64,53,11,
"Ocupantes presentes (146)",199,174,25,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",19,8,11,
"Ocupantes presentes (149)",44,29,15,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",3,3,,
"Ocupantes presentes (155)",16,16,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",5,5,,
"Ocupantes presentes (158)",29,29,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",106,96,10,
"Ocupantes presentes (164)",526,481,45,
"Casa independiente",,,,
"Viviendas particulares (166)",105,95,10,
"Ocupantes presentes (167)",521,476,45,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",1,1,,
"Ocupantes presentes (182)",5,5,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1242,588,520,134
"Ocupantes presentes (218)",5812,2728,2441,643
"Casa independiente",,,,
"Viviendas particulares (220)",1238,587,520,131
"Ocupantes presentes (221)",5801,2724,2441,636
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",3,,,3
"Ocupantes presentes (233)",7,,,7
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,1,,
"Ocupantes presentes (239)",4,4,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1133,520,493,120
"Ocupantes presentes (245)",5273,2391,2311,571
"Casa independiente",,,,
"Viviendas particulares (247)",1129,519,493,117
"Ocupantes presentes (248)",5262,2387,2311,564
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",3,,,3
"Ocupantes presentes (260)",7,,,7
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",4,4,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",109,68,27,14
"Ocupantes presentes (272)",539,337,130,72
"Casa independiente",,,,
"Viviendas particulares (274)",109,68,27,14
"Ocupantes presentes (275)",539,337,130,72
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
