"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia UCAYALI (000)",21074,737,7589,7030,4634,1084
"Agric., ganadería, caza y silvicultura (001)",12047,506,4199,3632,2884,826
"Pesca (002)",754,17,301,262,146,28
"Explotación de minas y canteras (003)",73,,15,34,24,
"Industrias manufactureras (004)",922,14,387,320,161,40
"Suministro de electricidad, gas y agua (005)",22,3,1,8,9,1
"Construcción (006)",319,2,122,120,72,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1691,83,516,640,373,79
"Venta, mant.y rep. veh.autom.y motoc. (008)",111,2,30,46,29,4
"Comercio al por mayor (009)",66,2,18,34,12,
"Comercio al por menor (010)",1514,79,468,560,332,75
"Hoteles y restaurantes (011)",431,28,134,154,103,12
"Trans., almac. y comunicaciones (012)",565,5,307,180,72,1
"Intermediación financiera (013)",4,,3,,1,
"Activid.inmobil., empres. y alquileres (014)",182,1,54,73,50,4
"Admin.pub. y defensa; p. segur.soc afil (015)",399,,150,176,68,5
"Enseñanza (016)",1474,,397,765,308,4
"Servicios sociales y de salud (017)",162,,54,78,26,4
"Otras activ. serv.comun.soc y personales (018)",185,5,81,58,35,6
"Hogares privados con servicio doméstico (019)",440,28,242,106,58,6
"Actividad economica no especificada (021)",683,9,299,207,138,30
"Desocupado (022)",721,36,327,217,106,35
"Hombres (023)",14923,495,5295,4933,3350,850
"Agric., ganadería, caza y silvicultura (024)",9249,375,3220,2778,2197,679
"Pesca (025)",711,15,281,253,135,27
"Explotación de minas y canteras (026)",72,,14,34,24,
"Industrias manufactureras (027)",556,11,224,201,94,26
"Suministro de electricidad, gas y agua (028)",20,1,1,8,9,1
"Construcción (029)",313,1,119,119,71,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",963,42,285,351,239,46
"Venta, mant.y rep. veh.autom.y motoc. (031)",107,2,28,44,29,4
"Comercio al por mayor (032)",44,1,11,22,10,
"Comercio al por menor (033)",812,39,246,285,200,42
"Hoteles y restaurantes (034)",90,11,36,24,16,3
"Trans., almac. y comunicaciones (035)",539,3,292,173,70,1
"Intermediación financiera (036)",3,,2,,1,
"Activid.inmobil., empres. y alquileres (037)",164,1,47,64,48,4
"Admin.pub. y defensa; p. segur.soc afil (038)",308,,109,138,56,5
"Enseñanza (039)",770,,173,419,177,1
"Servicios sociales y de salud (040)",83,,22,38,19,4
