"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUANCA SANCOS (000)",4642,3804,838
"De 3 a 5 años (001)",712,56,656
"De 6 a 11 años (002)",1485,1346,139
"De 12 a 16 años (003)",1262,1253,9
"De 17 a 24 años (004)",1183,1149,34
"Hombres (005)",2381,1985,396
"De 3 a 5 años (006)",338,35,303
"De 6 a 11 años (007)",764,685,79
"De 12 a 16 años (008)",674,670,4
"De 17 a 24 años (009)",605,595,10
"Mujeres (010)",2261,1819,442
"De 3 a 5 años (011)",374,21,353
"De 6 a 11 años (012)",721,661,60
"De 12 a 16 años (013)",588,583,5
"De 17 a 24 años (014)",578,554,24
,,,
"URBANA (015)",3192,2648,544
"De 3 a 5 años (016)",468,42,426
"De 6 a 11 años (017)",1043,951,92
"De 12 a 16 años (018)",916,909,7
"De 17 a 24 años (019)",765,746,19
"Hombres (020)",1661,1400,261
"De 3 a 5 años (021)",224,25,199
"De 6 a 11 años (022)",543,490,53
"De 12 a 16 años (023)",499,496,3
"De 17 a 24 años (024)",395,389,6
"Mujeres (025)",1531,1248,283
"De 3 a 5 años (026)",244,17,227
"De 6 a 11 años (027)",500,461,39
"De 12 a 16 años (028)",417,413,4
"De 17 a 24 años (029)",370,357,13
,,,
"RURAL (030)",1450,1156,294
"De 3 a 5 años (031)",244,14,230
"De 6 a 11 años (032)",442,395,47
"De 12 a 16 años (033)",346,344,2
"De 17 a 24 años (034)",418,403,15
"Hombres (035)",720,585,135
"De 3 a 5 años (036)",114,10,104
"De 6 a 11 años (037)",221,195,26
"De 12 a 16 años (038)",175,174,1
"De 17 a 24 años (039)",210,206,4
"Mujeres (040)",730,571,159
"De 3 a 5 años (041)",130,4,126
"De 6 a 11 años (042)",221,200,21
"De 12 a 16 años (043)",171,170,1
"De 17 a 24 años (044)",208,197,11
