"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JORGE BASADRE (000)",147,37,110
"Sin nivel (001)",9,2,7
"Primaria (003)",37,4,33
"Secundaria (004)",68,20,48
"Superior no univ. incompleta (005)",10,3,7
"Superior no univ. completa (006)",9,3,6
"Superior univ. incompleta (007)",6,1,5
"Superior univ. completa (008)",8,4,4
"De 14 a 29 años (010)",72,24,48
"Sin nivel (011)",3,,3
"Primaria (013)",7,1,6
"Secundaria (014)",38,13,25
"Superior no univ. incompleta (015)",6,2,4
"Superior no univ. completa (016)",6,3,3
"Superior univ. incompleta (017)",5,1,4
"Superior univ. completa (018)",7,4,3
"De 30 a 44 años (020)",53,11,42
"Sin nivel (021)",4,2,2
"Primaria (023)",18,2,16
"Secundaria (024)",23,6,17
"Superior no univ. incompleta (025)",3,1,2
"Superior no univ. completa (026)",3,,3
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",1,,1
"De 45 a 64 años (030)",19,2,17
"Sin nivel (031)",1,,1
"Primaria (033)",11,1,10
"Secundaria (034)",6,1,5
"Superior no univ. incompleta (035)",1,,1
"De 65 y más años (040)",3,,3
"Sin nivel (041)",1,,1
"Primaria (043)",1,,1
"Secundaria (044)",1,,1
,,,
"AREA URBANA (050)",92,23,69
"Sin nivel (051)",8,2,6
"Primaria (053)",19,3,16
"Secundaria (054)",44,14,30
"Superior no univ. incompleta (055)",6,1,5
"Superior no univ. completa (056)",8,2,6
"Superior univ. incompleta (057)",3,,3
"Superior univ. completa (058)",4,1,3
"De 14 a 29 años (060)",43,10,33
"Sin nivel (061)",3,,3
"Primaria (063)",2,,2
"Secundaria (064)",24,7,17
"Superior no univ. incompleta (065)",2,,2
"Superior no univ. completa (066)",5,2,3
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",4,1,3
"De 30 a 44 años (070)",34,11,23
"Sin nivel (071)",4,2,2
"Primaria (073)",9,2,7
"Secundaria (074)",15,6,9
"Superior no univ. incompleta (075)",3,1,2
"Superior no univ. completa (076)",3,,3
"De 45 a 64 años (080)",14,2,12
"Sin nivel (081)",1,,1
"Primaria (083)",7,1,6
"Secundaria (084)",5,1,4
"Superior no univ. incompleta (085)",1,,1
"De 65 y más años (090)",1,,1
"Primaria (093)",1,,1
,,,
"AREA RURAL (100)",55,14,41
"Sin nivel (101)",1,,1
"Primaria (103)",18,1,17
"Secundaria (104)",24,6,18
"Superior no univ. incompleta (105)",4,2,2
"Superior no univ. completa (106)",1,1,
"Superior univ. incompleta (107)",3,1,2
"Superior univ. completa (108)",4,3,1
"De 14 a 29 años (110)",29,14,15
"Primaria (113)",5,1,4
"Secundaria (114)",14,6,8
"Superior no univ. incompleta (115)",4,2,2
"Superior no univ. completa (116)",1,1,
"Superior univ. incompleta (117)",2,1,1
"Superior univ. completa (118)",3,3,
"De 30 a 44 años (120)",19,,19
"Primaria (123)",9,,9
"Secundaria (124)",8,,8
"Superior univ. incompleta (127)",1,,1
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",5,,5
"Primaria (133)",4,,4
"Secundaria (134)",1,,1
"De 65 y más años (140)",2,,2
"Sin nivel (141)",1,,1
"Secundaria (144)",1,,1
