"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CANCHIS (000)",46313,6537,14620,12597,12559
"Asiste actualmente (001)",35423,3248,14101,11919,6155
"No asiste (002)",10890,3289,519,678,6404
"Hombres (004)",23376,3345,7473,6347,6211
"Asiste actualmente (005)",18209,1591,7224,6058,3336
"No asiste (006)",5167,1754,249,289,2875
"Mujeres (008)",22937,3192,7147,6250,6348
"Asiste actualmente (009)",17214,1657,6877,5861,2819
"No asiste (010)",5723,1535,270,389,3529
,,,,,
"URBANA (012)",28647,3873,8833,7691,8250
"Asiste actualmente (013)",22536,2044,8602,7400,4490
"No asiste (014)",6111,1829,231,291,3760
"Hombres (016)",14472,1964,4520,3920,4068
"Asiste actualmente (017)",11529,980,4407,3783,2359
"No asiste (018)",2943,984,113,137,1709
"Mujeres (020)",14175,1909,4313,3771,4182
"Asiste actualmente (021)",11007,1064,4195,3617,2131
"No asiste (022)",3168,845,118,154,2051
,,,,,
"RURAL (024)",17666,2664,5787,4906,4309
"Asiste actualmente (025)",12887,1204,5499,4519,1665
"No asiste (026)",4779,1460,288,387,2644
"Hombres (028)",8904,1381,2953,2427,2143
"Asiste actualmente (029)",6680,611,2817,2275,977
"No asiste (030)",2224,770,136,152,1166
"Mujeres (032)",8762,1283,2834,2479,2166
"Asiste actualmente (033)",6207,593,2682,2244,688
"No asiste (034)",2555,690,152,235,1478
