"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CANAS (000)",498,209,289
"De 14 a 29 años (001)",264,149,115
"De 30 a 44 años (002)",146,49,97
"De 45 a 64 años (003)",77,11,66
"De 65 y más años (004)",11,,11
"Hombres (005)",417,173,244
"De 14 a 29 años (006)",208,118,90
"De 30 a 44 años (007)",130,44,86
"De 45 a 64 años (008)",68,11,57
"De 65 y más años (009)",11,,11
"Mujeres (010)",81,36,45
"De 14 a 29 años (011)",56,31,25
"De 30 a 44 años (012)",16,5,11
"De 45 a 64 años (013)",9,,9
,,,
"AREA URBANA (015)",98,21,77
"De 14 a 29 años (016)",46,15,31
"De 30 a 44 años (017)",37,6,31
"De 45 a 64 años (018)",13,,13
"De 65 y más años (019)",2,,2
"Hombres (020)",72,15,57
"De 14 a 29 años (021)",34,10,24
"De 30 a 44 años (022)",28,5,23
"De 45 a 64 años (023)",8,,8
"De 65 y más años (024)",2,,2
"Mujeres (025)",26,6,20
"De 14 a 29 años (026)",12,5,7
"De 30 a 44 años (027)",9,1,8
"De 45 a 64 años (028)",5,,5
,,,
"AREA RURAL (030)",400,188,212
"De 14 a 29 años (031)",218,134,84
"De 30 a 44 años (032)",109,43,66
"De 45 a 64 años (033)",64,11,53
"De 65 y más años (034)",9,,9
"Hombres (035)",345,158,187
"De 14 a 29 años (036)",174,108,66
"De 30 a 44 años (037)",102,39,63
"De 45 a 64 años (038)",60,11,49
"De 65 y más años (039)",9,,9
"Mujeres (040)",55,30,25
"De 14 a 29 años (041)",44,26,18
"De 30 a 44 años (042)",7,4,3
"De 45 a 64 años (043)",4,,4
