"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHICLAYO (000)",15098,4096,11002
"Sin nivel (001)",406,70,336
"Educación inicial (002)",23,5,18
"Primaria (003)",2342,509,1833
"Secundaria (004)",6505,1907,4598
"Superior no univ. incompleta (005)",1048,288,760
"Superior no univ. completa (006)",1749,413,1336
"Superior univ. incompleta (007)",1092,391,701
"Superior univ. completa (008)",1933,513,1420
"Hombres (010)",9920,2379,7541
"Sin nivel (011)",268,42,226
"Educación inicial (012)",17,3,14
"Primaria (013)",1766,344,1422
"Secundaria (014)",4656,1219,3437
"Superior no univ. incompleta (015)",600,146,454
"Superior no univ. completa (016)",867,150,717
"Superior univ. incompleta (017)",673,230,443
"Superior univ. completa (018)",1073,245,828
"Mujeres (020)",5178,1717,3461
"Sin nivel (021)",138,28,110
"Educación inicial (022)",6,2,4
"Primaria (023)",576,165,411
"Secundaria (024)",1849,688,1161
"Superior no univ. incompleta (025)",448,142,306
"Superior no univ. completa (026)",882,263,619
"Superior univ. incompleta (027)",419,161,258
"Superior univ. completa (028)",860,268,592
,,,
"AREA URBANA (030)",14054,3660,10394
"Sin nivel (031)",347,50,297
"Educación inicial (032)",20,5,15
"Primaria (033)",2001,381,1620
"Secundaria (034)",5979,1672,4307
"Superior no univ. incompleta (035)",1027,279,748
"Superior no univ. completa (036)",1692,388,1304
"Superior univ. incompleta (037)",1082,387,695
"Superior univ. completa (038)",1906,498,1408
"Hombres (040)",9131,2083,7048
"Sin nivel (041)",226,30,196
"Educación inicial (042)",14,3,11
"Primaria (043)",1481,245,1236
"Secundaria (044)",4262,1056,3206
"Superior no univ. incompleta (045)",589,142,447
"Superior no univ. completa (046)",834,140,694
"Superior univ. incompleta (047)",667,228,439
"Superior univ. completa (048)",1058,239,819
"Mujeres (050)",4923,1577,3346
"Sin nivel (051)",121,20,101
"Educación inicial (052)",6,2,4
"Primaria (053)",520,136,384
"Secundaria (054)",1717,616,1101
"Superior no univ. incompleta (055)",438,137,301
"Superior no univ. completa (056)",858,248,610
"Superior univ. incompleta (057)",415,159,256
"Superior univ. completa (058)",848,259,589
,,,
"AREA RURAL (060)",1044,436,608
"Sin nivel (061)",59,20,39
"Educación inicial (062)",3,,3
"Primaria (063)",341,128,213
"Secundaria (064)",526,235,291
"Superior no univ. incompleta (065)",21,9,12
"Superior no univ. completa (066)",57,25,32
"Superior univ. incompleta (067)",10,4,6
"Superior univ. completa (068)",27,15,12
"Hombres (070)",789,296,493
"Sin nivel (071)",42,12,30
"Educación inicial (072)",3,,3
"Primaria (073)",285,99,186
"Secundaria (074)",394,163,231
"Superior no univ. incompleta (075)",11,4,7
"Superior no univ. completa (076)",33,10,23
"Superior univ. incompleta (077)",6,2,4
"Superior univ. completa (078)",15,6,9
"Mujeres (080)",255,140,115
"Sin nivel (081)",17,8,9
"Primaria (083)",56,29,27
"Secundaria (084)",132,72,60
"Superior no univ. incompleta (085)",10,5,5
"Superior no univ. completa (086)",24,15,9
"Superior univ. incompleta (087)",4,2,2
"Superior univ. completa (088)",12,9,3
