"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia AYABACA (000)",29322,7836,21486
"Red pública de desague dentro de la vivienda (001)",1942,1896,46
"Red pública de desague fuera de la vivienda (002)",304,259,45
"Pozo séptico (003)",416,250,166
"Pozo ciego o negro / letrina (004)",5185,2309,2876
"Río, acequia o canal (005)",410,130,280
"No tiene (006)",21065,2992,18073
,,,
"URBANA (008)",3590,3156,434
"Red pública de desague dentro de la vivienda (009)",1807,1779,28
"Red pública de desague fuera de la vivienda (010)",241,231,10
"Pozo séptico (011)",127,107,20
"Pozo ciego o negro / letrina (012)",481,384,97
"Río, acequia o canal (013)",69,65,4
"No tiene (014)",865,590,275
,,,
"RURAL (016)",25732,4680,21052
"Red pública de desague dentro de la vivienda (017)",135,117,18
"Red pública de desague fuera de la vivienda (018)",63,28,35
"Pozo séptico (019)",289,143,146
"Pozo ciego o negro / letrina (020)",4704,1925,2779
"Río, acequia o canal (021)",341,65,276
"No tiene (022)",20200,2402,17798
