"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia EL DORADO",,,,,,,,,
"Viviendas particulares (001)",3504,386,1245,158,231,9,2,5,1468
"Ocupantes presentes (002)",15910,1881,5830,721,1000,50,24,27,6377
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3407,375,1201,149,230,9,2,5,1436
"Ocupantes presentes (005)",15602,1840,5658,694,995,50,24,27,6314
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,,2,,,,,,
"Ocupantes presentes (008)",9,,9,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",64,6,34,9,1,,,,14
"Ocupantes presentes (011)",199,19,123,27,5,,,,25
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",19,5,2,,,,,,12
"Ocupantes presentes (014)",44,22,3,,,,,,19
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",3,,,,,,,,3
"Ocupantes presentes (017)",7,,,,,,,,7
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",3,,3,,,,,,
"Ocupantes presentes (020)",16,,16,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,,3,,,,,,3
"Ocupantes presentes (023)",33,,21,,,,,,12
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2371,297,1152,97,167,6,1,3,648
"Ocupantes presentes (029)",10637,1388,5349,446,709,35,10,15,2685
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2278,286,1108,88,166,6,1,3,620
"Ocupantes presentes (032)",10340,1347,5177,419,704,35,10,15,2633
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,,2,,,,,,
"Ocupantes presentes (035)",9,,9,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",64,6,34,9,1,,,,14
"Ocupantes presentes (038)",199,19,123,27,5,,,,25
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",19,5,2,,,,,,12
"Ocupantes presentes (041)",44,22,3,,,,,,19
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",3,,3,,,,,,
"Ocupantes presentes (047)",16,,16,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,,3,,,,,,2
"Ocupantes presentes (050)",29,,21,,,,,,8
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1133,89,93,61,64,3,1,2,820
"Ocupantes presentes (056)",5273,493,481,275,291,15,14,12,3692
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1129,89,93,61,64,3,1,2,816
"Ocupantes presentes (059)",5262,493,481,275,291,15,14,12,3681
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",3,,,,,,,,3
"Ocupantes presentes (071)",7,,,,,,,,7
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",4,,,,,,,,4
"Otro tipo",,,,,,,,,
