"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BARRANCA (000)",126520,15295,26856,6098,78555
"Quechua (001)",4146,299,1017,206,2639
"Aymara (002)",134,4,20,7,104
"Asháninka (003)",21,5,4,2,11
"Otra lengua nativa (004)",29,4,5,3,17
"Castellano (005)",121929,14962,25769,5865,75599
"Idioma Extranjero (006)",5,,1,2,2
"Es Sordomudo/a (007)",256,21,40,13,183
"Hombres (009)",63468,7105,13952,3641,38942
"Quechua (010)",2327,154,611,135,1437
"Aymara (011)",93,1,18,4,71
"Asháninka (012)",17,4,3,1,9
"Otra lengua nativa (013)",7,3,1,1,2
"Castellano (014)",60876,6930,13293,3490,37324
"Idioma Extranjero (015)",2,,,,2
"Es Sordomudo/a (016)",146,13,26,10,97
"Mujeres (018)",63052,8190,12904,2457,39613
"Quechua (019)",1819,145,406,71,1202
"Aymara (020)",41,3,2,3,33
"Asháninka (021)",4,1,1,1,2
"Otra lengua nativa (022)",22,1,4,2,15
"Castellano (023)",61053,8032,12476,2375,38275
"Idioma Extranjero (024)",3,,1,2,
"Es Sordomudo/a (025)",110,8,14,3,86
,,,,,
"URBANA (027)",108118,12141,23963,5854,66438
"Quechua (028)",3032,205,841,178,1822
"Aymara (029)",132,3,20,7,103
"Asháninka (030)",21,5,4,2,11
"Otra lengua nativa (031)",18,,3,2,13
"Castellano (032)",104718,11912,23061,5652,64354
"Idioma Extranjero (033)",5,,1,2,2
"Es Sordomudo/a (034)",192,16,33,11,133
"Hombres (036)",53764,5596,12277,3490,32569
"Quechua (037)",1643,95,500,116,941
"Aymara (038)",92,1,18,4,70
"Asháninka (039)",17,4,3,1,9
"Castellano (041)",51899,5484,11737,3360,31476
"Idioma Extranjero (042)",2,,,,2
"Es Sordomudo/a (043)",111,12,19,9,71
"Mujeres (045)",54354,6545,11686,2364,33869
"Quechua (046)",1389,110,341,62,881
"Aymara (047)",40,2,2,3,33
"Asháninka (048)",4,1,1,1,2
"Otra lengua nativa (049)",18,,3,2,13
"Castellano (050)",52819,6428,11324,2292,32878
"Idioma Extranjero (051)",3,,1,2,
"Es Sordomudo/a (052)",81,4,14,2,62
,,,,,
"RURAL (054)",18402,3154,2893,244,12117
"Quechua (055)",1114,94,176,28,817
"Aymara (056)",2,1,,,1
"Otra lengua nativa (058)",11,4,2,1,4
"Castellano (059)",17211,3050,2708,213,11245
"Es Sordomudo/a (061)",64,5,7,2,50
"Hombres (063)",9704,1509,1675,151,6373
"Quechua (064)",684,59,111,19,496
"Aymara (065)",1,,,,1
"Otra lengua nativa (067)",7,3,1,1,2
"Castellano (068)",8977,1446,1556,130,5848
"Es Sordomudo/a (070)",35,1,7,1,26
"Mujeres (072)",8698,1645,1218,93,5744
"Quechua (073)",430,35,65,9,321
"Aymara (074)",1,1,,,
"Otra lengua nativa (076)",4,1,1,,2
"Castellano (077)",8234,1604,1152,83,5397
"Es Sordomudo/a (079)",29,4,,1,24
